ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,35,0.0,0.51439188,0.36892506,0.10257104,0.01056356,0.00331179,0.00016282,5.144e-05,4.5e-06,1.078e-05,2.01e-06,3.18e-06,9.6e-07,5.4e-07,3.1e-07,3e-08,5e-08,2e-08,0.0,3e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,19,0.0,0.37857225,0.45453563,0.09270042,0.0704064,0.00306089,0.00067593,3.865e-05,6.06e-06,1.08e-06,1.43e-06,3.9e-07,5.6e-07,1.1e-07,1.5e-07,3e-08,2e-08,1e-08,0.0,0.0,0.0
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.61858899,0.29505814,0.07276515,0.01190063,0.00148443,0.00017134,2.701e-05,2.4e-06,1.09e-06,3.1e-07,2.8e-07,1.4e-07,2e-08,4e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
EXP04_Levallois preferential,Levallois preferential,29,0.0,0.62665932,0.24164344,0.1140827,0.01536483,0.00197749,0.00018257,5.772e-05,7.32e-06,1.414e-05,2.92e-06,4.65e-06,1.16e-06,1.09e-06,3.2e-07,1.9e-07,4e-08,6e-08,0.0,4e-08,0.0
EXP05_Levallois preferential,Levallois preferential,24,0.0,0.58631555,0.27439401,0.09092256,0.04264328,0.00534905,0.00029852,3.634e-05,1.938e-05,5.03e-06,8.95e-06,1.67e-06,3.78e-06,4.2e-07,1.14e-06,7e-08,2e-07,1e-08,1e-08,1e-08,1e-08
EXP06_Levallois convergent,Levallois convergent,22,0.0,0.72647135,0.11413441,0.13065746,0.02691832,0.00157643,0.00018722,3.755e-05,6.31e-06,4.7e-06,2.86e-06,1.51e-06,1.06e-06,3.9e-07,2.8e-07,8e-08,4e-08,2e-08,0.0,1e-08,0.0
EXP07_Levallois preferential,Levallois preferential,27,0.0,0.56036753,0.34882809,0.07847526,0.01006022,0.00186168,0.0003038,5.916e-05,7.89e-06,2.176e-05,4.37e-06,6.16e-06,2.07e-06,1.04e-06,6.7e-07,7e-08,1.1e-07,5e-08,1e-08,6e-08,1e-08
EXP08_Levallois preferential,Levallois preferential,28,0.0,0.64520341,0.24031404,0.10748726,0.00582947,0.00098803,0.00014614,1.97e-05,4.92e-06,1.68e-06,2.96e-06,4.6e-07,1.26e-06,1.3e-07,3.8e-07,6e-08,6e-08,3e-08,0.0,1e-08,0.0
EXP09_Levallois preferential,Levallois preferential,27,0.0,0.55949951,0.29295678,0.1107106,0.03316072,0.00324103,0.00033262,5.355e-05,6.71e-06,2.409e-05,3.33e-06,7.36e-06,1.44e-06,1.49e-06,4.5e-07,1.4e-07,8e-08,4e-08,1e-08,5e-08,1e-08
EXP10_Cylindrical unidirectional,Unidirectional,33,0.0,0.58631424,0.28572069,0.10378362,0.02156075,0.00238675,0.00020428,2.542e-05,1.7e-06,1.53e-06,3.1e-07,4.1e-07,1.6e-07,5e-08,5e-08,1e-08,1e-08,1e-08,0.0,1e-08,0.0
EXP11_Cylindrical bidirectional,Bidirectional,20,0.0,0.08619027,0.65676146,0.20176745,0.0497725,0.00495705,0.00052202,1.598e-05,4.93e-06,2.56e-06,2.61e-06,8.6e-07,1.43e-06,2.4e-07,5e-07,4e-08,9e-08,1e-08,0.0,0.0,0.0
EXP12_Discoid,Discoid,17,0.0,0.22108489,0.47708041,0.18744298,0.10022646,0.01300935,0.00091521,0.00010259,7.338e-05,1.72e-05,2.619e-05,5.54e-06,1.081e-05,1.07e-06,3.2e-06,8e-08,5.3e-07,2e-08,3e-08,4e-08,3e-08
EXP13_Conical unidirectional,Unidirectional,16,0.0,0.49803209,0.36211496,0.09511895,0.03875471,0.00553405,0.00040311,3.218e-05,5.24e-06,1.7e-06,1.4e-06,4.9e-07,6.7e-07,1.2e-07,2.2e-07,3e-08,4e-08,1e-08,0.0,1e-08,0.0
EXP14_Levallois convergent,Levallois convergent,19,0.0,0.82147858,0.09695737,0.06173667,0.01621117,0.00325214,0.00026034,5.224e-05,1.381e-05,2.139e-05,6e-06,5.97e-06,2.28e-06,1.07e-06,6.5e-07,1e-07,1.1e-07,5e-08,1e-08,5e-08,1e-08
EXP15_Levallois convergent,Levallois convergent,17,0.0,0.74813407,0.12252177,0.10617556,0.02131693,0.0016065,0.00018972,2.6e-05,1.251e-05,6.77e-06,5.22e-06,2.28e-06,1.64e-06,5.4e-07,3.3e-07,9e-08,3e-08,2e-08,1e-08,1e-08,1e-08
EXP16_Discoid,Discoid,17,0.0,0.1919142,0.55471413,0.14017249,0.10866394,0.00343604,0.00091067,0.00010222,3.344e-05,1.621e-05,1.732e-05,5.3e-06,8.78e-06,1.33e-06,3.06e-06,2e-07,5.9e-07,2e-08,4e-08,2e-08,2e-08
EXP17_Discoid,Discoid,18,0.0,0.32930125,0.05675268,0.53522711,0.06968538,0.00731858,0.0014727,0.00011735,2.886e-05,5.179e-05,1.271e-05,1.989e-05,4.19e-06,5.27e-06,1.02e-06,8.3e-07,1.7e-07,9e-08,3e-08,8e-08,2e-08
EXP18_Discoid,Discoid,16,0.0,0.7124659,0.15804636,0.10915997,0.01749077,0.00259637,0.00016712,2.684e-05,2.257e-05,6.84e-06,8.9e-06,2.52e-06,3.53e-06,8.6e-07,1.03e-06,2e-07,1.7e-07,2e-08,1e-08,0.0,1e-08
EXP19_Levallois preferential,Levallois preferential,27,0.0,0.47548748,0.29110947,0.2098534,0.01697922,0.0059772,0.00042854,7.305e-05,2.842e-05,3.121e-05,1.318e-05,1.074e-05,4.27e-06,2.45e-06,9.2e-07,2.7e-07,9e-08,1e-08,1e-08,4e-08,2e-08
EXP20_Cylindrical bidirectional,Bidirectional,11,0.0,0.4656131,0.24231386,0.22019466,0.06115329,0.01001137,0.00063385,4.159e-05,1.334e-05,1.131e-05,6.27e-06,3.5e-06,2.1e-06,9.5e-07,5.1e-07,1.9e-07,6e-08,4e-08,0.0,2e-08,1e-08
EXP21_Levallois preferential,Levallois preferential,37,0.0,0.6588546,0.27560933,0.0286482,0.03283548,0.00339275,0.00047168,9.692e-05,3.381e-05,2.656e-05,1.409e-05,7.93e-06,5.32e-06,1.48e-06,1.42e-06,1e-07,2.1e-07,3e-08,2e-08,5e-08,2e-08
EXP22_Cylindrical unidirectional,Unidirectional,24,0.0,0.60887931,0.23424135,0.12603969,0.02820606,0.00241295,0.00016961,3.907e-05,2.31e-06,6.06e-06,7.9e-07,1.88e-06,3.7e-07,3.4e-07,1.2e-07,3e-08,2e-08,1e-08,0.0,2e-08,0.0
