perturbation,level,method,n_sig_05_med,n_sig_05_lo,n_sig_05_hi,n_sig_05_baseline,n_sig_05_retention,med_neglog10_med,med_neglog10_lo,med_neglog10_hi,med_neglog10_baseline,med_neglog10_retention,test
angle,0,SP-SPHARM,8,8,8,8,1,2.840968332518619,2.840968332518619,2.840968332518619,2.840968332518619,1,PERMANOVA adonis2 + Holm
angle,5,SP-SPHARM,8,6.475,8,8,1,2.8388903526330402,2.6193707538194113,3.2547825507851105,2.840968332518619,0.9992685663328966,PERMANOVA adonis2 + Holm
angle,10,SP-SPHARM,7,5,9,8,0.875,2.8474201484201904,2.2388731136343765,3.3306794562316977,2.840968332518619,1.0022709918402546,PERMANOVA adonis2 + Holm
angle,15,SP-SPHARM,7,6,9,8,0.875,2.9498147274412183,2.2888188154963185,3.610924374808178,2.840968332518619,1.0383131320672283,PERMANOVA adonis2 + Holm
angle,20,SP-SPHARM,6,5,8,8,0.75,2.850083805302896,2.0152993675304582,3.6571483303102936,2.840968332518619,1.0032085795114076,PERMANOVA adonis2 + Holm
angle,0,"Fabric (E, I)",6,6,6,6,1,2.4303753912141963,2.4303753912141963,2.4303753912141963,2.4303753912141963,1,PERMANOVA adonis2 + Holm
angle,5,"Fabric (E, I)",6,5,7,6,1,2.279939212710877,2.0116217176524813,2.817952204429205,2.4303753912141963,0.9381016697884837,PERMANOVA adonis2 + Holm
angle,10,"Fabric (E, I)",5,4,7,6,0.8333333333333334,2.178156985396691,1.814687465617824,2.7676654863201433,2.4303753912141963,0.89622244912071,PERMANOVA adonis2 + Holm
angle,15,"Fabric (E, I)",5,4,7,6,0.8333333333333334,2.0531649248187396,1.4864975733265597,2.634381271935948,2.4303753912141963,0.8447933320263725,PERMANOVA adonis2 + Holm
angle,20,"Fabric (E, I)",5,3,7,6,0.8333333333333334,1.8343255546006314,1.313691471416897,2.68030748789538,2.4303753912141963,0.7547498881167558,PERMANOVA adonis2 + Holm
angle,0,SPI,4,4,4,4,1,1.5589196901475555,1.5589196901475555,1.5589196901475555,1.5589196901475555,1,Kruskal-Wallis + Dunn (Holm)
angle,5,SPI,4,3,4,4,1,1.5628093749820628,1.4052595034530344,1.7222860774229534,1.5589196901475555,1.0024951155977375,Kruskal-Wallis + Dunn (Holm)
angle,10,SPI,4,3,4,4,1,1.5196608204395792,1.2169097587741762,1.807780322144704,1.5589196901475555,0.9748166182285757,Kruskal-Wallis + Dunn (Holm)
angle,15,SPI,4,3,4,4,1,1.4381944025589584,1.0662204356700262,1.8345268125307281,1.5589196901475555,0.9225583663150921,Kruskal-Wallis + Dunn (Holm)
angle,20,SPI,3,3,4,4,0.75,1.435139677817076,0.8910121043785264,1.8615961724504382,1.5589196901475555,0.9205988524535453,Kruskal-Wallis + Dunn (Holm)
