perturbation,level,method,n_sig_05_med,n_sig_05_lo,n_sig_05_hi,n_sig_05_baseline,n_sig_05_retention,med_neglog10_med,med_neglog10_lo,med_neglog10_hi,med_neglog10_baseline,med_neglog10_retention,test
polarity,0,SP-SPHARM,8,8,8,8,1,2.6989700043360187,2.6989700043360187,2.6989700043360187,2.6989700043360187,1,PERMANOVA adonis2 + Holm
polarity,0.02,SP-SPHARM,7,7,8,8,0.875,2.610924374808178,2.3723637474483468,2.84948500216801,2.6989700043360187,0.9673780629698028,PERMANOVA adonis2 + Holm
polarity,0.05,SP-SPHARM,7,4.475,9,8,0.875,2.5228787452803374,1.942235703660284,3,2.6989700043360187,0.9347561259396056,PERMANOVA adonis2 + Holm
polarity,0.1,SP-SPHARM,5,2.475,8,8,0.625,2.0713337517843655,1.5323613346830849,2.84948500216801,2.6989700043360187,0.7674534168429709,PERMANOVA adonis2 + Holm
polarity,0.15,SP-SPHARM,5,2,8,8,0.625,2.037860356969059,1.1009675788000064,2.7614393726401687,2.6989700043360187,0.7550511319855883,PERMANOVA adonis2 + Holm
polarity,0.2,SP-SPHARM,5,1,8,8,0.625,1.858585261518699,1.0259118439367327,2.8076633281422843,2.6989700043360187,0.6886276092482676,PERMANOVA adonis2 + Holm
polarity,0,"Fabric (E, I)",5,5,5,5,1,2.3287886595888967,2.3287886595888967,2.3287886595888967,2.3287886595888967,1,PERMANOVA adonis2 + Holm
polarity,0.02,"Fabric (E, I)",5,5,5,5,1,2.3287886595888967,2.3287886595888967,2.3287886595888967,2.3287886595888967,1,PERMANOVA adonis2 + Holm
polarity,0.05,"Fabric (E, I)",5,5,5,5,1,2.3287886595888967,2.3287886595888967,2.3287886595888967,2.3287886595888967,1,PERMANOVA adonis2 + Holm
polarity,0.1,"Fabric (E, I)",5,5,5,5,1,2.3287886595888967,2.3287886595888967,2.3287886595888967,2.3287886595888967,1,PERMANOVA adonis2 + Holm
polarity,0.15,"Fabric (E, I)",5,5,5,5,1,2.3287886595888967,2.3287886595888967,2.3287886595888967,2.3287886595888967,1,PERMANOVA adonis2 + Holm
polarity,0.2,"Fabric (E, I)",5,5,5,5,1,2.3287886595888967,2.3287886595888967,2.3287886595888967,2.3287886595888967,1,PERMANOVA adonis2 + Holm
polarity,0,SPI,4,4,4,4,1,1.5589196901475555,1.5589196901475555,1.5589196901475555,1.5589196901475555,1,Kruskal-Wallis + Dunn (Holm)
polarity,0.02,SPI,3,3,4,4,0.75,1.510458987639045,1.4262615503746483,1.576332659624447,1.5589196901475555,0.9689139198030634,Kruskal-Wallis + Dunn (Holm)
polarity,0.05,SPI,3,2,4,4,0.75,1.3238383766324655,0.7223447485314674,1.9072641783005817,1.5589196901475555,0.8492024220357118,Kruskal-Wallis + Dunn (Holm)
polarity,0.1,SPI,3,1,4,4,0.75,1.1070752508424986,0.4391895184410756,1.6274201919080666,1.5589196901475555,0.7101554094410798,Kruskal-Wallis + Dunn (Holm)
polarity,0.15,SPI,2,0.4750000000000001,4,4,0.5,0.8631154229345436,0.2173396834257207,1.415135280433424,1.5589196901475555,0.5536625320659383,Kruskal-Wallis + Dunn (Holm)
polarity,0.2,SPI,2,0,4,4,0.5,0.7641567877972124,0.20951684959938427,1.282713908718383,1.5589196901475555,0.49018354994597774,Kruskal-Wallis + Dunn (Holm)
