perturbation,level,R,R2_med,R2_lo,R2_hi,pseudo_F_med,pseudo_F_lo,pseudo_F_hi,n_sig_05_med,n_sig_05_lo,n_sig_05_hi,n_sig_01_med,n_sig_01_lo,n_sig_01_hi,med_neglog10_p_med,med_neglog10_p_lo,med_neglog10_p_hi,ilr_shift_med,ilr_shift_lo,ilr_shift_hi,mantel_vs_base_med,mantel_vs_base_lo,mantel_vs_base_hi,decoup_mantel_med,decoup_mantel_lo,decoup_mantel_hi,decoup_rv_med,decoup_rv_lo,decoup_rv_hi,fabric_n_sig_05_med,spi_n_sig_05_med,fabric_R2_med,fabric_R2_lo,fabric_R2_hi,fabric_F_med,fabric_F_lo,fabric_F_hi,fabric_p_med,fabric_p_lo,fabric_p_hi,fabric_n_sig_05_lo,fabric_n_sig_05_hi,fabric_n_sig_01_med,fabric_n_sig_01_lo,fabric_n_sig_01_hi,fabric_med_neglog10_med,fabric_med_neglog10_lo,fabric_med_neglog10_hi,spi_KW_chisq_med,spi_KW_chisq_lo,spi_KW_chisq_hi,spi_p_med,spi_p_lo,spi_p_hi,spi_n_sig_05_lo,spi_n_sig_05_hi,spi_n_sig_01_med,spi_n_sig_01_lo,spi_n_sig_01_hi,spi_med_neglog10_med,spi_med_neglog10_lo,spi_med_neglog10_hi
baseline,0,1,0.30173781098982033,0.30173781098982033,0.30173781098982033,5.7256802080068425,5.7256802080068425,5.7256802080068425,8,8,8,0,0,0,2.6989700043360187,2.6989700043360187,2.6989700043360187,0,0,0,1,1,1,-0.06125642786107344,-0.06125642786107344,-0.06125642786107344,0.10094663634931238,0.10094663634931238,0.10094663634931238,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
angle,5,100,0.30930407946622085,0.28264470676191333,0.328982140298991,5.933550756806316,5.220640795683066,6.496125150594235,8,6,8,0,0,0,2.610924374808178,2.3979400086720375,3,0.22123943281501102,0.19294956119779116,0.25507498875509893,0.9617084033670019,0.9462365119204454,0.9715443330518285,-0.05276044954127031,-0.0834702655072448,-0.018128336542980877,0.1007784572685565,0.08498524102288184,0.11721296727796914,5,4,0.5427722302352358,0.52197098521847,0.5666212710573278,15.728993025749364,14.467982817929602,17.32409493948139,0.001,0.001,0.001,5,7,0,0,0,2.2440840204505514,2.0228787452803374,2.675953876246605,27.09323077565334,25.866996743758886,28.390938465391997,1.903493371280172e-5,1.0392725517248743e-5,3.3659929863810805e-5,3,4,3,2,3,1.5628093749820628,1.4052595034530344,1.7222860774229534
angle,10,100,0.3093917168487838,0.25987559811367333,0.3502531460443213,5.93598573346783,4.652446923271185,7.1426833450713705,7,5.475,9,0,0,0,2.6989700043360187,2.2247544330153968,3,0.4700759339500731,0.39667854683424175,0.5452355631644203,0.8553638953755107,0.8101913062452837,0.8973552171669366,-0.03509082069787964,-0.09887771753877253,0.029223490316812983,0.09660541252248223,0.07025855157252058,0.12628060568385274,5,4,0.5398799986136009,0.49987046770060595,0.5711645334519855,15.546983740405159,13.243645880484504,17.64873721808971,0.001,0.001,0.001,4,7,0,0,0,2.183324508278978,1.8388903526330402,2.6989700043360187,26.79160056775487,24.67971074768307,28.833420931785938,2.1905477482476437e-5,8.45080505099544e-6,5.841921207792022e-5,3,4,3,2,3,1.5196608204395792,1.2169097587741762,1.807780322144704
angle,15,100,0.32136060230141605,0.2626511363705301,0.3674162336042582,6.274361661678282,4.7204662834255835,7.696087732481304,7,5,9,0,0,0,2.6989700043360187,2.155014703775259,3,0.7142036829404996,0.6017779063924722,0.8154689405573343,0.7271813791299995,0.6461951816965248,0.794825488776907,-0.0016849739488541435,-0.09833295841999207,0.08811271975597215,0.09508662813017163,0.06318235904191859,0.131100645393217,5,4,0.5275110495480708,0.4613003390128656,0.5845262500946915,14.79298875915487,11.346300606383611,18.641492478265477,0.001,0.001,0.001,4,6.5249999999999915,0,0,0,2.079013217312122,1.5000018241541262,2.6317094518956794,26.600636636887373,23.112896176003993,29.44661356140937,2.3938347773211047e-5,6.377288279079692e-6,1.2054604388066122e-4,3,4,3,2,3,1.4381944025589584,1.0662204356700262,1.8345268125307281
angle,20,100,0.3134442011256644,0.24774999316856905,0.3813781196657466,6.049233111405618,4.364015293008414,8.170102164778138,6,5,8,0,0,0,2.610924374808178,1.9870802690490772,3,0.913656685991796,0.8028477215168004,1.0365710391470258,0.6054418306612313,0.5121737549872645,0.6950993873756239,-7.103750548082937e-4,-0.11456667598556665,0.0932013320615928,0.0842768803376179,0.05216971391797534,0.1326746286114897,5,3,0.5013515242673163,0.43532290721461053,0.5890965403168664,13.321829188541882,10.214738083730255,19.003740550808864,0.001,0.001,0.001,4,6.5249999999999915,0,0,0,1.8822945126149966,1.3537646837410826,2.6989700043360187,26.71315124822577,22.811688027051822,29.953838868247484,2.2717669266234608e-5,5.030770122038244e-6,1.380844569703588e-4,3,4,3,1.475,3,1.435139677817076,0.8910121043785264,1.8615961724504382
polarity,0.02,100,0.2933968979809608,0.2754204600369466,0.31201608671057485,5.50168685002497,5.036467314367948,6.0093517283485465,7,7,8,0,0,0,2.610924374808178,2.3723637474483468,2.8494850021680094,0,0,0,0.9803355091998627,0.9711314396314694,0.988839155646128,-0.053900257744375984,-0.0752673922351258,-0.0329880979157314,0.10225971240666429,0.09278620479359159,0.1099964262675904,5,3,0.5446972001791435,0.5446972001791435,0.5446972001791435,15.85151223584249,15.85151223584249,15.85151223584249,0.001,0.001,0.001,5,5,0,0,0,2.3287886595888967,2.3287886595888967,2.3287886595888967,26.305073265425406,25.30559489020622,28.69958002838772,2.7464269770921266e-5,8.997072498269385e-6,4.3670022080306584e-5,3,4,3,2,3,1.510458987639045,1.4262615503746485,1.576332659624447
polarity,0.05,100,0.28224043728371917,0.2253122155790463,0.3366390727442935,5.210239345426317,3.8536649178794122,6.724663011364115,7,4.475,9,0,0,0,2.5228787452803374,1.942235703660284,3,0.4082377336221641,0.35171064085384024,0.45349293277567493,0.851747315801052,0.8078679061042775,0.9009958673708178,-0.04644503058831108,-0.08899306621181974,0.028873790260858644,0.09309926551045797,0.07286275896720654,0.12221263276806618,5,3,0.5446972001791435,0.5446972001791435,0.5446972001791435,15.85151223584249,15.85151223584249,15.85151223584249,0.001,0.001,0.001,5,5,0,0,0,2.3287886595888967,2.3287886595888967,2.3287886595888967,24.513401728312587,19.77947002588293,31.144075676296225,6.307738939239972e-5,2.8620134444580144e-6,5.520317101925253e-4,2,4,2,1,4,1.3238383766324657,0.7223447485314674,1.9072641783005817
polarity,0.1,100,0.24092026336176864,0.19045431506721733,0.30738494883300516,4.205355307083776,3.11720479038345,5.880986364900866,5,2.475,8,0,0,0,2.0713337517843655,1.5323613346830847,2.8494850021680094,0.6351487472944197,0.5530874061429645,0.7059813139508753,0.7476525057166756,0.6773925372200236,0.8279898111954868,-0.03635462820742663,-0.09830360954403786,0.04110771906522432,0.09170097148982483,0.06772961795603093,0.11664548480775797,5,3,0.5446972001791435,0.5446972001791435,0.5446972001791435,15.85151223584249,15.85151223584249,15.85151223584249,0.001,0.001,0.001,5,5,0,0,0,2.3287886595888967,2.3287886595888967,2.3287886595888967,20.564840945144866,13.318771760457537,28.400113707522763,3.862333673660917e-4,1.0368003005858843e-5,0.00995348390617638,1,4,2,0,3,1.1070752508424986,0.43918951844107557,1.6274201919080666
polarity,0.15,100,0.23714892664478002,0.1741460840769556,0.3164997009781011,4.119061868162784,2.7940165277252524,6.135796940338894,5,2,8,0,0,0,2.037860356969059,1.1009675788000064,2.7614393726401687,0.8735187260462282,0.7613416920661,0.9597725683315226,0.6058843486694923,0.47523525449064286,0.7393211018577519,-0.026694648641912948,-0.10077268960813598,0.09178159586257191,0.08540070184217957,0.0601166194623827,0.12070005536904524,5,2,0.5446972001791435,0.5446972001791435,0.5446972001791435,15.85151223584249,15.85151223584249,15.85151223584249,0.001,0.001,0.001,5,5,0,0,0,2.3287886595888967,2.3287886595888967,2.3287886595888967,18.88359564164648,10.698094524922777,27.84216910536863,8.284330089438999e-4,1.4478948233250357e-5,0.03049342335173344,0.4750000000000001,4,1,0,3,0.8631154229345436,0.2173396834257207,1.415135280433424
polarity,0.2,100,0.23055928539526593,0.16342498462779395,0.31424639681590266,3.9703109933877814,2.5883891370174332,6.0719217181901195,5,1,8,0,0,0,1.858585261518699,1.0259118439367327,2.8076633281422843,1.0746229919724837,0.9324460443883544,1.2179966964129787,0.5222527465067927,0.42054802571089694,0.6292378206960356,-0.012278270671537488,-0.08122842794783469,0.10648828881653188,0.07916289537778985,0.05327420882752272,0.12151979410221622,5,2,0.5446972001791435,0.5446972001791435,0.5446972001791435,15.85151223584249,15.85151223584249,15.85151223584249,0.001,0.001,0.001,5,5,0,0,0,2.3287886595888967,2.3287886595888967,2.3287886595888967,15.28634987893463,7.553219347499381,25.750311221507875,0.004142995836096628,3.57709542737513e-5,0.11124523491733901,0,4,1,0,3,0.7641567877972124,0.20951684959938427,1.282713908718383
