ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,35,0.0,0.58071894,0.33975753,0.072665,0.00551511,0.00123311,4.439e-05,4.018e-05,3.56e-06,1.376e-05,2.15e-06,3.98e-06,1.11e-06,6.3e-07,3.8e-07,2e-08,7e-08,3e-08,0.0,4e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,19,0.0,0.45023152,0.44044488,0.069338,0.03860411,0.00117551,0.0001855,1.354e-05,2.75e-06,1.53e-06,1.27e-06,4.2e-07,6.2e-07,7e-08,2e-07,1e-08,3e-08,1e-08,0.0,1e-08,0.0
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.67856766,0.26369265,0.05104107,0.00617917,0.00045681,3.717e-05,1.805e-05,1.67e-06,3.69e-06,6.1e-07,9.6e-07,2.7e-07,1e-07,8e-08,0.0,1e-08,2e-08,0.0,1e-08,0.0
EXP04_Levallois preferential,Levallois preferential,29,0.0,0.69485838,0.21754316,0.07894161,0.00773546,0.00077399,6.202e-05,4.934e-05,5.29e-06,1.912e-05,2.71e-06,5.88e-06,1.21e-06,1.14e-06,3.7e-07,1.3e-07,6e-08,6e-08,0.0,5e-08,0.0
EXP05_Levallois preferential,Levallois preferential,24,0.0,0.66054802,0.25036174,0.06511653,0.02193989,0.00189176,9.918e-05,1.66e-05,1.111e-05,3.64e-06,6.13e-06,1.1e-06,2.88e-06,2.4e-07,9.4e-07,4e-08,1.7e-07,1e-08,1e-08,1e-08,1e-08
EXP06_Levallois convergent,Levallois convergent,22,0.0,0.79444588,0.10156871,0.08983722,0.01349009,0.00056639,5.499e-05,2.249e-05,3.21e-06,6.2e-06,1.7e-06,1.73e-06,7.3e-07,3.1e-07,2.2e-07,4e-08,4e-08,3e-08,0.0,2e-08,0.0
EXP07_Levallois preferential,Levallois preferential,27,0.0,0.62397078,0.31533053,0.05448478,0.00513898,0.00086612,0.00010102,5.879e-05,6.26e-06,2.672e-05,4.03e-06,7.72e-06,2.01e-06,1.25e-06,6.8e-07,5e-08,1.2e-07,6e-08,1e-08,7e-08,1e-08
EXP08_Levallois preferential,Levallois preferential,28,0.0,0.70851154,0.21381834,0.07419191,0.0029475,0.00045055,5.248e-05,1.225e-05,4.75e-06,4.99e-06,2.63e-06,1.24e-06,1.15e-06,1.6e-07,3.6e-07,2e-08,6e-08,3e-08,0.0,2e-08,0.0
EXP09_Levallois preferential,Levallois preferential,27,0.0,0.63313948,0.26943418,0.07862686,0.01729083,0.00131671,0.00010541,4.69e-05,3.8e-06,2.304e-05,2.49e-06,7.04e-06,1.21e-06,1.33e-06,4e-07,1.1e-07,7e-08,5e-08,0.0,6e-08,0.0
EXP10_Cylindrical unidirectional,Unidirectional,33,0.0,0.6547754,0.25974392,0.07333863,0.01124112,0.00082764,4.847e-05,1.736e-05,1.27e-06,4.04e-06,5.5e-07,1.06e-06,2.7e-07,1.3e-07,9e-08,0.0,1e-08,2e-08,0.0,2e-08,0.0
