comparison,p_type,M-SPHARM,SP-SPHARM,MFA-combined
Bifacial_adjacent-Bifacial_independent,holm,1,1,0.9863999999999999
Bifacial_adjacent-Core_on_flake,holm,0.9192,0.754,0.3888
Bifacial_adjacent-Multifacial,holm,0.17779999999999999,1,0.52
Bifacial_adjacent-Unifacial_centripetal,holm,0.325,1,0.963
Bifacial_adjacent-Unifacial_unidirection,holm,0.036,0.5820000000000001,0.0345
Bifacial_independent-Core_on_flake,holm,0.8199,1,0.9863999999999999
Bifacial_independent-Multifacial,holm,0.24530000000000002,1,0.2678
Bifacial_independent-Unifacial_centripetal,holm,0.20279999999999998,1,0.4708
Bifacial_independent-Unifacial_unidirection,holm,0.20279999999999998,0.8256,0.0658
Core_on_flake-Multifacial,holm,1,1,0.9863999999999999
Core_on_flake-Unifacial_centripetal,holm,1,1,0.9863999999999999
Core_on_flake-Unifacial_unidirection,holm,1,1,0.9863999999999999
Multifacial-Unifacial_centripetal,holm,1,1,0.9863999999999999
Multifacial-Unifacial_unidirection,holm,1,0.6272,0.963
Unifacial_centripetal-Unifacial_unidirection,holm,1,1,0.9716
Bifacial_adjacent-Bifacial_independent,raw,0.3279,0.1665,0.1644
Bifacial_adjacent-Core_on_flake,raw,0.1149,0.058,0.0324
Bifacial_adjacent-Multifacial,raw,0.0127,0.8925,0.052
Bifacial_adjacent-Unifacial_centripetal,raw,0.0325,0.4949,0.107
Bifacial_adjacent-Unifacial_unidirection,raw,0.0024,0.0388,0.0023
Bifacial_independent-Core_on_flake,raw,0.0911,0.6197,0.2211
Bifacial_independent-Multifacial,raw,0.0223,0.2171,0.0206
Bifacial_independent-Unifacial_centripetal,raw,0.0156,0.4533,0.0428
Bifacial_independent-Unifacial_unidirection,raw,0.0159,0.0688,0.0047
Core_on_flake-Multifacial,raw,0.8524,0.1463,0.317
Core_on_flake-Unifacial_centripetal,raw,0.8338,0.1161,0.1783
Core_on_flake-Unifacial_unidirection,raw,0.962,0.1118,0.2611
Multifacial-Unifacial_centripetal,raw,0.6018,0.1292,0.2514
Multifacial-Unifacial_unidirection,raw,0.7019,0.0448,0.1196
Unifacial_centripetal-Unifacial_unidirection,raw,0.4558,0.0962,0.1388
