model,scope,comparison,n,n_coords,R2,pseudo_F,p,p_holm,significant_holm,n_sig_pairs,n_pairs,sig_pairs,permdisp_F,permdisp_p
M-SPHARM,global,core_type (all groups),50,7,0.18770190528243924,2.033461333009521,0.0107,NA,TRUE,1,15,Bifacial_adjacent-Unifacial_unidirection,NA,NA
SP-SPHARM,global,core_type (all groups),50,5,0.16785198589124165,1.775041760359084,0.0378,NA,TRUE,0,15,,NA,NA
MFA-combined,global,core_type (all groups),50,12,0.17783108495201158,1.903396636549268,0.004,NA,TRUE,1,15,Bifacial_adjacent-Unifacial_unidirection,0.736535854032877,0.6127
M-SPHARM,pairwise,Bifacial_adjacent-Bifacial_independent,12,7,0.10986813651854134,1.234290570037884,0.3279,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_adjacent-Core_on_flake,14,7,0.13150547032076462,1.8170127616486067,0.1149,0.9192,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_adjacent-Multifacial,22,7,0.15314881519199453,3.6169002993534396,0.0127,0.17779999999999999,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_adjacent-Unifacial_centripetal,21,7,0.1157656089219206,2.487515291997128,0.0325,0.325,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_adjacent-Unifacial_unidirection,17,7,0.20727398506227088,3.922048371502343,0.0024,0.036,TRUE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_independent-Core_on_flake,8,7,0.3375997974745653,3.057968245064981,0.0911,0.8199,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_independent-Multifacial,16,7,0.21498240840139152,3.8339952503362684,0.0223,0.24530000000000002,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_independent-Unifacial_centripetal,15,7,0.23949447059924897,4.093892808699889,0.0156,0.20279999999999998,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bifacial_independent-Unifacial_unidirection,11,7,0.3523112488394899,4.895563237548991,0.0159,0.20279999999999998,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Core_on_flake-Multifacial,18,7,0.02324465067082045,0.38076516395692356,0.8524,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Core_on_flake-Unifacial_centripetal,17,7,0.02930866004055572,0.45290390725717566,0.8338,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Core_on_flake-Unifacial_unidirection,13,7,0.020689090290954677,0.23238788718091155,0.962,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Multifacial-Unifacial_centripetal,25,7,0.02932497329319774,0.6948508689173032,0.6018,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Multifacial-Unifacial_unidirection,21,7,0.03026789222744085,0.5930400238498215,0.7019,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Unifacial_centripetal-Unifacial_unidirection,20,7,0.04969240434983031,0.9412355350953319,0.4558,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_adjacent-Bifacial_independent,12,5,0.15108179302472657,1.7796978764660563,0.1665,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_adjacent-Core_on_flake,14,5,0.17295301000381752,2.509453689028467,0.058,0.754,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_adjacent-Multifacial,22,5,0.014436462451807016,0.29295853391088117,0.8925,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_adjacent-Unifacial_centripetal,21,5,0.042558931265854194,0.8445634101745016,0.4949,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_adjacent-Unifacial_unidirection,17,5,0.1772670428691764,3.2319182305648595,0.0388,0.5820000000000001,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_independent-Core_on_flake,8,5,0.08491899328693475,0.5567965633466293,0.6197,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_independent-Multifacial,16,5,0.09273180932477404,1.4309388821188906,0.2171,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_independent-Unifacial_centripetal,15,5,0.06752231278154996,0.941352354262297,0.4533,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bifacial_independent-Unifacial_unidirection,11,5,0.25996604886699815,3.1616041888630644,0.0688,0.8256,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Core_on_flake-Multifacial,18,5,0.10189846158073922,1.8153575242298712,0.1463,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Core_on_flake-Unifacial_centripetal,17,5,0.1304214617658708,2.2497357518284717,0.1161,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Core_on_flake-Unifacial_unidirection,13,5,0.17247059715982246,2.292579045828119,0.1118,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Multifacial-Unifacial_centripetal,25,5,0.07266651111409837,1.802296342853096,0.1292,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Multifacial-Unifacial_unidirection,21,5,0.12772850288340523,2.7822089370189618,0.0448,0.6272,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Unifacial_centripetal-Unifacial_unidirection,20,5,0.1114166786259055,2.2569636037788983,0.0962,1,FALSE,NA,NA,NA,NA,NA
