model,group,n,mean_dist_to_centroid,dispersion_ratio_vs_min
M-SPHARM,Bifacial_adjacent,9,1.1884754161854598,1.142086255456232
M-SPHARM,Bifacial_independent,3,1.0438787382566967,1.0031335466344438
M-SPHARM,Core_on_flake,5,1.1172304541948779,1.073622162087684
M-SPHARM,Multifacial,13,1.3044591505570549,1.253542855296926
M-SPHARM,Unifacial_centripetal,12,1.040617913496119,1
M-SPHARM,Unifacial_unidirection,8,1.0926341839103892,1.0499859455998728
SP-SPHARM,Bifacial_adjacent,9,0.9034064742035821,1.2228572991724709
SP-SPHARM,Bifacial_independent,3,0.8182656913355659,1.107610142150271
SP-SPHARM,Core_on_flake,5,1.1642808037645058,1.575978609656251
SP-SPHARM,Multifacial,13,1.171393879414285,1.5856069184256416
SP-SPHARM,Unifacial_centripetal,12,0.9815592491840625,1.3286454400198293
SP-SPHARM,Unifacial_unidirection,8,0.73876688213329,1
MFA-combined,Bifacial_adjacent,9,0.24194660763593506,1.0865191522506468
MFA-combined,Bifacial_independent,3,0.22425487722077408,1.007070202251512
MFA-combined,Core_on_flake,5,0.27883182387592725,1.252161044365797
MFA-combined,Multifacial,13,0.2900264328084574,1.302433115241254
MFA-combined,Unifacial_centripetal,12,0.24284611555099106,1.09055860784318
MFA-combined,Unifacial_unidirection,8,0.2226804811813579,1
