w,R2,pseudo_F,p,n_pairs,n_sig_pairs_holm_05,n_sig_pairs_holm_01,n_sig_pairs_raw_05,median_neglog10_p_raw,n_pairs_at_p_floor,p_raw_Bifacial_adjacent_Bifacial_independent,p_raw_Bifacial_adjacent_Core_on_flake,p_raw_Bifacial_adjacent_Multifacial,p_raw_Bifacial_adjacent_Unifacial_centripetal,p_raw_Bifacial_adjacent_Unifacial_unidirection,p_raw_Bifacial_independent_Core_on_flake,p_raw_Bifacial_independent_Multifacial,p_raw_Bifacial_independent_Unifacial_centripetal,p_raw_Bifacial_independent_Unifacial_unidirection,p_raw_Core_on_flake_Multifacial,p_raw_Core_on_flake_Unifacial_centripetal,p_raw_Core_on_flake_Unifacial_unidirection,p_raw_Multifacial_Unifacial_centripetal,p_raw_Multifacial_Unifacial_unidirection,p_raw_Unifacial_centripetal_Unifacial_unidirection
0,0.1678519858912416,1.7750417603590836,0.0378,15,0,0,2,0.8887374863409346,0,0.1665,0.058,0.8925,0.4949,0.0388,0.6197,0.2171,0.4533,0.0688,0.1463,0.1161,0.1118,0.1292,0.0448,0.0962
0.05,0.16884448186080156,1.7876695852318374,0.032,15,0,0,2,0.8758219445253249,0,0.1665,0.0561,0.782,0.4463,0.0308,0.5997,0.1805,0.4006,0.0581,0.1526,0.1196,0.1156,0.1331,0.0456,0.0965
0.1,0.1698369778303614,1.8003276043314,0.0265,15,0,0,3,0.8758219445253249,0,0.1623,0.0552,0.6558,0.3992,0.0242,0.5645,0.1331,0.3358,0.0443,0.1599,0.1232,0.1194,0.138,0.047,0.0982
0.15000000000000002,0.1708294737999212,1.8130159260829304,0.0208,15,0,0,2,0.893129455521346,0,0.1582,0.054,0.5252,0.3489,0.0194,0.5114,0.1014,0.2668,0.0369,0.1682,0.1279,0.1231,0.1431,0.0502,0.1002
0.2,0.1718219697694811,1.825734659431339,0.0165,15,0,0,3,0.8833922560117515,0,0.1546,0.0493,0.4058,0.3044,0.0154,0.4601,0.0901,0.2048,0.0244,0.1775,0.1308,0.1291,0.149,0.0524,0.1028
0.25,0.17281446573904102,1.8384839138444027,0.0123,15,0,0,3,0.870954940112042,0,0.1506,0.0469,0.3035,0.2642,0.0122,0.4065,0.0705,0.1508,0.0113,0.191,0.1331,0.1346,0.1577,0.0555,0.1039
0.30000000000000004,0.1738069617086009,1.851263799315907,0.0099,15,0,0,4,0.8623294627632448,0,0.1552,0.0454,0.2208,0.2258,0.0095,0.3889,0.0488,0.1125,0.0047,0.2085,0.1373,0.1468,0.1693,0.0615,0.1081
0.35000000000000003,0.17479945767816077,1.8640744263688116,0.0074,15,0,0,4,0.845576026885353,0,0.1546,0.0414,0.1544,0.1902,0.0067,0.3708,0.0383,0.0864,0.0047,0.2281,0.1427,0.1596,0.1857,0.0681,0.1124
0.4,0.1757919536477207,1.8769159060584364,0.0059,15,0,0,4,0.9233595563296582,0,0.1469,0.0373,0.107,0.1578,0.0045,0.3152,0.0324,0.0676,0.0047,0.2521,0.1515,0.1816,0.2045,0.0789,0.1193
0.45,0.17678444961728057,1.8897883499756656,0.0046,15,0,0,4,0.8934691461776186,0,0.147,0.0343,0.0737,0.1307,0.0035,0.2224,0.0247,0.0584,0.0047,0.2774,0.1625,0.2139,0.2255,0.0961,0.1278
