comparison,p_type,M-SPHARM,SP-SPHARM,MFA-combined
Bidirectional-Discoid,holm,0.7063,0.3802,0.3662
Bidirectional-Levallois,holm,1,0.002,0.002
Bidirectional-Multiplatform,holm,0.468,0.0136,0.0095
Discoid-Multiplatform,holm,1,0.3696,0.3662
Levallois-Discoid,holm,1,0.0048000000000000004,0.0056
Levallois-Multiplatform,holm,0.1233,0.013,0.0045000000000000005
Unidirectional-Bidirectional,holm,0.7398,0.002,0.0056
Unidirectional-Discoid,holm,1,0.0032,0.0045000000000000005
Unidirectional-Levallois,holm,0.08,0.0486,0.0095
Unidirectional-Multiplatform,holm,1,0.0032,0.0336
Bidirectional-Discoid,raw,0.1009,0.3802,0.1831
Bidirectional-Levallois,raw,0.6628,2e-4,2e-4
Bidirectional-Multiplatform,raw,0.0585,0.0034,0.0019
Discoid-Multiplatform,raw,0.3017,0.1848,0.1921
Levallois-Discoid,raw,0.2029,8e-4,8e-4
Levallois-Multiplatform,raw,0.0137,0.0026,5e-4
Unidirectional-Bidirectional,raw,0.1233,2e-4,8e-4
Unidirectional-Discoid,raw,0.747,4e-4,5e-4
Unidirectional-Levallois,raw,0.008,0.0162,0.0019
Unidirectional-Multiplatform,raw,0.8845,4e-4,0.0112
