model,scope,comparison,n,n_coords,R2,pseudo_F,p,p_holm,significant_holm,n_sig_pairs,n_pairs,sig_pairs,permdisp_F,permdisp_p
M-SPHARM,global,type (all groups),58,7,0.12333968011052612,1.8641778627216878,0.0254,NA,TRUE,0,10,,NA,NA
SP-SPHARM,global,type (all groups),58,5,0.30173786937348374,5.725681794616911,1e-4,NA,TRUE,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,NA,NA
MFA-combined,global,type (all groups),58,12,0.2114280513042016,3.5525251493080363,1e-4,NA,TRUE,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,1.0304611211474215,0.393
M-SPHARM,pairwise,Unidirectional-Bidirectional,22,7,0.08210034710233977,1.7888741289565213,0.1233,0.7398,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Unidirectional-Levallois,37,7,0.09779550032066758,3.7938654844216972,0.008,0.08,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Unidirectional-Discoid,21,7,0.02687427346723137,0.52471246207486,0.747,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Unidirectional-Multiplatform,26,7,0.016057902094618475,0.3916791964600985,0.8845,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bidirectional-Levallois,27,7,0.023611894098483237,0.6045724532019454,0.6628,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bidirectional-Discoid,11,7,0.18211346608084408,2.0039713661425873,0.1009,0.7063,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Bidirectional-Multiplatform,16,7,0.1457873903351726,2.3893623690397936,0.0585,0.468,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Levallois-Discoid,26,7,0.059374476811700654,1.5149359743617694,0.2029,1,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Levallois-Multiplatform,31,7,0.10329730960777929,3.340708141865064,0.0137,0.1233,FALSE,NA,NA,NA,NA,NA
M-SPHARM,pairwise,Discoid-Multiplatform,15,7,0.08707395317466081,1.2399267117056603,0.3017,1,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Unidirectional-Bidirectional,22,5,0.3780355341632047,12.15617788243234,2e-4,0.002,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Unidirectional-Levallois,37,5,0.08462894128226271,3.235860383250939,0.0162,0.0486,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Unidirectional-Discoid,21,5,0.3460360592588461,10.053589680291578,4e-4,0.0032,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Unidirectional-Multiplatform,26,5,0.220158246955308,6.775474519411354,4e-4,0.0032,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bidirectional-Levallois,27,5,0.2722803599205688,9.353889359467104,2e-4,0.002,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bidirectional-Discoid,11,5,0.10769642323124144,1.0862534167924331,0.3802,0.3802,FALSE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Bidirectional-Multiplatform,16,5,0.2308451233513708,4.201795795667275,0.0034,0.0136,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Levallois-Discoid,26,5,0.22490598893035615,6.963985861379013,8e-4,0.0048000000000000004,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Levallois-Multiplatform,31,5,0.1267191990342355,4.208104389709234,0.0026,0.013,TRUE,NA,NA,NA,NA,NA
SP-SPHARM,pairwise,Discoid-Multiplatform,15,5,0.10886661952671839,1.588164111971308,0.1848,0.3696,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Unidirectional-Bidirectional,22,12,0.19444623206971332,4.8276413024373275,8e-4,0.0056,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Unidirectional-Levallois,37,12,0.09327795154922443,3.6005833428237097,0.0019,0.0095,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Unidirectional-Discoid,21,12,0.16932040613068566,3.872838264267212,5e-4,0.0045000000000000005,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Unidirectional-Multiplatform,26,12,0.09524668650311598,2.5265676753806727,0.0112,0.0336,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bidirectional-Levallois,27,12,0.1592314493062482,4.734699257449031,2e-4,0.002,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bidirectional-Discoid,11,12,0.13689496215669902,1.4274678114368438,0.1831,0.3662,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bidirectional-Multiplatform,16,12,0.19541891483813484,3.4003593400203886,0.0019,0.0095,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Levallois-Discoid,26,12,0.1505512746929632,4.253618240848027,8e-4,0.0056,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Levallois-Multiplatform,31,12,0.11466425055648376,3.75593470412569,5e-4,0.0045000000000000005,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Discoid-Multiplatform,15,12,0.10022322380357027,1.4480279375003313,0.1921,0.3662,FALSE,NA,NA,NA,NA,NA
