model,group,n,mean_dist_to_centroid,dispersion_ratio_vs_min
M-SPHARM,Unidirectional,16,1.800760654019324,1.4579443837520216
M-SPHARM,Bidirectional,6,1.2351367268105689,1
M-SPHARM,Levallois,21,1.6496606061821217,1.3356097105475577
M-SPHARM,Discoid,5,1.5092763059836412,1.2219507955859827
M-SPHARM,Multiplatform,10,1.433623650737322,1.1607003658933337
SP-SPHARM,Unidirectional,16,0.583771542629064,1
SP-SPHARM,Bidirectional,6,0.9551937141434754,1.6362457646388182
SP-SPHARM,Levallois,21,0.9721100843581121,1.665223487907843
SP-SPHARM,Discoid,5,1.3928220855806628,2.385902675741904
SP-SPHARM,Multiplatform,10,0.9594627774335163,1.643558665282818
MFA-combined,Unidirectional,16,0.23824282913117922,1.0574734756591275
MFA-combined,Bidirectional,6,0.2252943781712175,1
MFA-combined,Levallois,21,0.25527422023992313,1.1330696412048142
MFA-combined,Discoid,5,0.3045060411785021,1.3515918313198474
MFA-combined,Multiplatform,10,0.2412131619819326,1.0706577054426865
