w,R2,pseudo_F,p,n_sig_pairs,n_pairs,sig_pairs,p_holm_Discoid_Bidirectional,p_holm_Discoid_Multiplatform
0,0.30173786937348374,5.72568179461691,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3802,0.3696
0.05,0.2928179599103358,5.486335552752472,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3658,0.3658
0.1,0.2838980504471879,5.252952000443926,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3644,0.3644
0.15000000000000002,0.2749781409840401,5.02531106163287,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3672,0.3672
0.2,0.26605823152089225,4.803203358976252,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3604,0.3604
0.25,0.2571383220577444,4.586429571522402,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3632,0.3632
0.30000000000000004,0.24821841259459648,4.374799838114209,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3674,0.3674
0.35000000000000003,0.2392985031314486,4.168133202766115,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3752,0.3752
0.4,0.23037859366830069,3.9662570986095704,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3744,0.3744
0.45,0.22145868420515286,3.7690068673137667,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3772,0.3772
0.5,0.212538774742005,3.5762253111687077,1e-4,8,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,0.3662,0.3662
0.55,0.20361886527885703,3.3877622752698135,1e-4,7,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois,0.3238,0.3238
0.6000000000000001,0.19469895581570917,3.203474257470073,1e-4,7,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois,0.2952,0.2952
0.65,0.18577904635256123,3.023224043970388,1e-4,6,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Levallois,0.2782,0.2782
0.7000000000000001,0.1768591368894134,2.8468803686033266,1e-4,6,10,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Levallois,0.3915,0.3915
0.75,0.16793922742626555,2.674317594032266,2e-4,2,10,Levallois-Multiplatform; Unidirectional-Levallois,0.3579,0.4394
0.8,0.15901931796311766,2.50541541323883,3e-4,1,10,Levallois-Multiplatform,0.4388,0.483
0.8500000000000001,0.15009940849996983,2.340058569808077,0.001,0,10,,0.511,0.6701999999999999
0.9,0.14117949903682192,2.17813659564479,0.004,0,10,,0.4965,0.862
0.9500000000000001,0.132259589573674,2.0195435648665896,0.0101,0,10,,0.6060000000000001,1
1,0.12333968011052619,1.864177862721689,0.0254,0,10,,0.7063,1
