w,R2,pseudo_F,p,n_pairs,n_sig_pairs_holm_05,n_sig_pairs_holm_01,n_sig_pairs_raw_05,median_neglog10_p_raw,n_pairs_at_p_floor,p_raw_Unidirectional_Bidirectional,p_raw_Unidirectional_Levallois,p_raw_Unidirectional_Discoid,p_raw_Unidirectional_Multiplatform,p_raw_Bidirectional_Levallois,p_raw_Bidirectional_Discoid,p_raw_Bidirectional_Multiplatform,p_raw_Levallois_Discoid,p_raw_Levallois_Multiplatform,p_raw_Discoid_Multiplatform
0,0.30173786937348374,5.72568179461691,1e-4,10,8,5,8,2.840968332518619,0,2e-4,0.0162,4e-4,4e-4,2e-4,0.3802,0.0034,8e-4,0.0026,0.1848
0.05,0.2928179599103358,5.486335552752472,1e-4,10,8,5,8,2.858349385648225,0,2e-4,0.0108,4e-4,4e-4,2e-4,0.3602,0.0034,8e-4,0.0024,0.1829
0.1,0.2838980504471879,5.252952000443926,1e-4,10,8,6,8,2.933230545814891,0,2e-4,0.0073,4e-4,4e-4,2e-4,0.3477,0.0026,8e-4,0.0017,0.1822
0.15,0.2749781409840401,5.02531106163287,1e-4,10,8,6,8,2.975390988664909,0,2e-4,0.0048,4e-4,4e-4,2e-4,0.3262,0.0025,8e-4,0.0014,0.1836
0.2,0.26605823152089225,4.803203358976252,1e-4,10,8,8,8,2.9914833303506096,0,2e-4,0.003,4e-4,5e-4,2e-4,0.2967,0.0024,8e-4,0.0013,0.1802
0.25,0.2571383220577444,4.586429571522402,1e-4,10,8,8,8,3.1883753548010496,0,2e-4,0.0021,4e-4,5e-4,2e-4,0.2841,0.0024,7e-4,6e-4,0.1816
0.3,0.24821841259459645,4.3747998381142095,1e-4,10,8,8,8,3.1259059864968997,0,2e-4,0.0018,4e-4,8e-4,2e-4,0.262,0.0025,7e-4,5e-4,0.1837
0.35,0.23929850313144863,4.168133202766115,1e-4,10,8,8,8,3.090228032229066,0,2e-4,0.0014,4e-4,0.0011,2e-4,0.2364,0.0025,6e-4,6e-4,0.1876
0.4,0.23037859366830069,3.9662570986095704,1e-4,10,8,8,8,3.037860356969059,0,2e-4,0.0014,4e-4,0.0018,2e-4,0.2128,0.0025,6e-4,6e-4,0.1872
0.45,0.22145868420515286,3.7690068673137667,1e-4,10,8,7,8,2.975390988664909,0,5e-4,0.0016,4e-4,0.0047,2e-4,0.1995,0.0024,7e-4,6e-4,0.1886
0.5,0.212538774742005,3.5762253111687077,1e-4,10,8,7,8,2.9090782060276137,0,7e-4,0.0019,5e-4,0.0105,2e-4,0.1831,0.0019,8e-4,5e-4,0.1916
0.55,0.20361886527885703,3.3877622752698135,1e-4,10,7,6,8,2.8516674048692345,0,0.0011,0.0025,8e-4,0.0199,2e-4,0.1619,0.0018,9e-4,8e-4,0.2006
0.6,0.19469895581570917,3.2034742574700736,1e-4,10,7,1,8,2.546832479097455,0,0.0026,0.0031,0.0038,0.0428,7e-4,0.1476,0.0024,0.0016,0.0014,0.2054
0.61,0.19291497392307963,3.1671054745069562,1e-4,10,7,0,8,2.530240373690691,0,0.0029,0.003,0.0051,0.0486,0.001,0.1476,0.0024,0.0021,0.0016,0.2052
0.62,0.19113099203044998,3.1308971161604915,1e-4,10,7,0,7,2.4438651157913647,0,0.0037,0.0035,0.0067,0.0567,0.0012,0.1411,0.0023,0.0022,0.0018,0.2067
0.63,0.1893470101378204,3.0948481233044642,1e-4,10,7,0,7,2.4324336743116124,0,0.0039,0.0035,0.0094,0.0646,0.0014,0.1348,0.0023,0.0025,0.0018,0.2082
0.64,0.18756302824519086,3.0589574461153486,1e-4,10,7,0,7,2.403716273331727,0,0.0041,0.0038,0.0114,0.0718,0.0019,0.1342,0.0023,0.0028,0.0019,0.2105
0.65,0.18577904635256123,3.023224043970388,1e-4,10,6,0,7,2.3827413582436567,0,0.0044,0.0039,0.014,0.0799,0.0023,0.1391,0.0026,0.003,0.0021,0.2128
0.66,0.18399506445993175,2.9876468853470373,1e-4,10,6,0,7,2.340968332518619,0,0.0052,0.004,0.0169,0.0903,0.0027,0.1367,0.0025,0.0035,0.0022,0.2161
0.67,0.1822110825673022,2.952224947723683,1e-4,10,6,0,7,2.311894074858664,0,0.0058,0.0041,0.0199,0.1024,0.0035,0.1326,0.0038,0.0037,0.0024,0.2157
0.68,0.18042710067467263,2.9169572174816945,1e-4,10,6,0,7,2.2820778170077793,0,0.0062,0.0042,0.0245,0.1153,0.0044,0.1308,0.0039,0.0041,0.0025,0.2167
0.69,0.17864311878204306,2.8818426898087335,1e-4,10,6,0,7,2.209651530143782,0,0.0068,0.0043,0.0293,0.1272,0.0056,0.1278,0.0042,0.0043,0.0025,0.2179
0.7,0.17685913688941346,2.846880368603327,1e-4,10,6,0,7,2.1283235242952223,0,0.0078,0.0046,0.034,0.1412,0.0071,0.1305,0.0045,0.0055,0.0026,0.2206
