ID,group,stl_format,n_faces_header,file_mb,n_faces_original,n_faces_raw
EXP01_Levallois preferential,EXP,binary,492608,24.63,492608,492608
EXP02_Cylindrical bidirectional,EXP,binary,492462,24.62,492462,492462
EXP03_Conical unidirectional,EXP,binary,389924,19.5,389924,389924
EXP04_Levallois preferential,EXP,binary,493228,24.66,493228,493228
EXP05_Levallois preferential,EXP,binary,382298,19.11,382298,382298
EXP06_Levallois convergent,EXP,binary,768016,38.4,768016,768016
EXP07_Levallois preferential,EXP,binary,499182,24.96,499182,499182
EXP08_Levallois preferential,EXP,binary,490300,24.52,490300,490300
EXP09_Levallois preferential,EXP,binary,290334,14.52,290334,290334
EXP10_Cylindrical unidirectional,EXP,binary,508202,25.41,508202,508202
EXP11_Cylindrical bidirectional,EXP,binary,519538,25.98,519538,519538
EXP12_Discoid,EXP,binary,498056,24.9,498056,498056
EXP13_Conical unidirectional,EXP,binary,426748,21.34,426748,426748
EXP14_Levallois convergent,EXP,binary,496416,24.82,496416,496416
EXP15_Levallois convergent,EXP,binary,496139,24.81,496139,496139
EXP16_Discoid,EXP,binary,495658,24.78,495658,495658
EXP17_Discoid,EXP,binary,323636,16.18,323636,323636
EXP18_Discoid,EXP,binary,157498,7.87,157498,157498
EXP19_Levallois preferential,EXP,binary,495350,24.77,495350,495350
EXP20_Cylindrical bidirectional,EXP,binary,452282,22.61,452282,452282
EXP21_Levallois preferential,EXP,binary,495876,24.79,495876,495876
EXP22_Cylindrical unidirectional,EXP,binary,496343,24.82,496343,496343
EXP23_Cylindrical unidirectional,EXP,binary,311360,15.57,311360,311360
EXP24_Cylindrical unidirectional,EXP,binary,497498,24.87,497498,497498
EXP25_Levallois Nubian,EXP,binary,496464,24.82,496464,496464
EXP26_Levallois recurrent,EXP,binary,282224,14.11,282224,282224
EXP27_Levallois convergent,EXP,binary,510634,25.53,510634,510634
EXP28_Levallois convergent,EXP,binary,491570,24.58,491570,491570
EXP29_Levallois preferential,EXP,binary,495990,24.8,495990,495990
EXP30_Levallois Nubian,EXP,binary,495722,24.79,495722,495722
EXP31_Levallois laminar,EXP,binary,294362,14.72,294362,294362
EXP32_Conical unidirectional,EXP,binary,491874,24.59,491874,491874
EXP33_Cylindrical bidirectional,EXP,binary,493970,24.7,493970,493970
EXP34_Multiplatform,EXP,binary,494522,24.73,494522,494522
EXP35_Levallois laminar,EXP,binary,496306,24.82,496306,496306
EXP36_Conical unidirectional,EXP,binary,495606,24.78,495606,495606
EXP37_Conical unidirectional,EXP,binary,499654,24.98,499654,499654
EXP38_Multiplatform,EXP,binary,498326,24.92,498326,498326
EXP39_Multiplatform,EXP,binary,498306,24.92,498306,498306
EXP40_Conical unidirectional,EXP,binary,463702,23.19,463702,463702
EXP41_Subconical unidirectional,EXP,binary,280698,14.03,280698,280698
EXP42_Multiplatform,EXP,binary,439692,21.98,439692,439692
EXP43_Biface,EXP,binary,189134,9.46,189134,189134
EXP44_Multiplatform,EXP,binary,498134,24.91,498134,498134
EXP45_Conical unidirectional,EXP,binary,493944,24.7,493944,493944
EXP46_Conical unidirectional,EXP,binary,491804,24.59,491804,491804
EXP47_Conical bidirectional,EXP,binary,398114,19.91,398114,398114
EXP48_Multiplatform,EXP,binary,498016,24.9,498016,498016
EXP49_Discoid,EXP,binary,334312,16.72,334312,334312
EXP50_Multiplatform,EXP,binary,246821,12.34,246821,246821
EXP51_Conical unidirectional,EXP,binary,498710,24.94,498710,498710
EXP52_Levallois preferential,EXP,binary,497098,24.85,497098,497098
EXP53_Levallois recurrent,EXP,binary,495846,24.79,495846,495846
EXP54_Multiplatform,EXP,binary,372492,18.62,372492,372492
EXP55_Multiplatform,EXP,binary,476294,23.81,476294,476294
EXP56_Multiplatform,EXP,binary,499352,24.97,499352,499352
EXP57_Conical bidirectional,EXP,binary,343708,17.19,343708,343708
EXP58_Conical unidirectional,EXP,binary,435932,21.8,435932,435932
EXP59_Subconical unidirectional,EXP,binary,499640,24.98,499640,499640
IM_Levallois_convergent,IM,binary,19572,0.98,19572,19572
IM_Levallois_laminar,IM,binary,19588,0.98,19588,19588
IM_Levallois_preferential,IM,binary,16166,0.81,16166,16166
IM_Multiplatform,IM,binary,12,0.0,12,12
IM_biface,IM,binary,1780,0.09,1780,1780
IM_conical_unipolar_cortical,IM,binary,92,0.0,92,92
IM_conical_unipolar_scarred,IM,binary,92,0.0,92,92
IM_cylindrical_bipolar,IM,binary,96,0.0,96,96
