order,cv_pct,cumul_pct,dataset,face_target,smooth_iters,setting
1,55.43440351738877,44.651661176124115,EXP,10000,3,f10000_s3
2,64.13327772882836,77.65241934562067,EXP,10000,3,f10000_s3
3,88.63630957662065,87.79328015453916,EXP,10000,3,f10000_s3
4,57.15139816490148,93.04309220009318,EXP,10000,3,f10000_s3
5,73.58384690547767,95.51940601932168,EXP,10000,3,f10000_s3
6,67.81952604587225,97.1689562434731,EXP,10000,3,f10000_s3
7,60.342376786854345,97.99039769810454,EXP,10000,3,f10000_s3
8,51.91931454156108,98.57924498766462,EXP,10000,3,f10000_s3
9,64.10443400294325,98.95699740807768,EXP,10000,3,f10000_s3
10,50.22785784620317,99.22918978624676,EXP,10000,3,f10000_s3
11,57.97338897766645,99.41851935601031,EXP,10000,3,f10000_s3
12,70.61301177787873,99.57061982154228,EXP,10000,3,f10000_s3
13,58.76007464173482,99.6770757538561,EXP,10000,3,f10000_s3
14,54.23677219200361,99.75801060077887,EXP,10000,3,f10000_s3
15,59.055742354658406,99.82384807299431,EXP,10000,3,f10000_s3
16,50.69254752604368,99.87590579581716,EXP,10000,3,f10000_s3
17,53.70591032655212,99.91737242308066,EXP,10000,3,f10000_s3
18,58.46009728798612,99.95091126332379,EXP,10000,3,f10000_s3
19,48.7944616125532,99.97719267221866,EXP,10000,3,f10000_s3
20,51.34493782831173,100,EXP,10000,3,f10000_s3
1,40.08719073946302,53.5823702245881,SDG,10000,3,f10000_s3
2,61.083419275755105,81.14808678217447,SDG,10000,3,f10000_s3
3,51.0572260572962,89.06977646707149,SDG,10000,3,f10000_s3
4,59.98248339494273,93.66435697446092,SDG,10000,3,f10000_s3
5,45.208586025457215,95.86120112599653,SDG,10000,3,f10000_s3
6,57.98332406632165,97.22414446432822,SDG,10000,3,f10000_s3
7,47.67503206218889,98.04834904596228,SDG,10000,3,f10000_s3
8,51.59110749415588,98.59244206111647,SDG,10000,3,f10000_s3
9,57.20724812869694,98.96556171155979,SDG,10000,3,f10000_s3
10,49.23674215636552,99.23069410864981,SDG,10000,3,f10000_s3
11,58.24708458868418,99.427073233185,SDG,10000,3,f10000_s3
12,46.93266393206029,99.56329692550857,SDG,10000,3,f10000_s3
13,49.06054016481968,99.66796231088583,SDG,10000,3,f10000_s3
14,52.83043693086393,99.75206773285555,SDG,10000,3,f10000_s3
15,46.952500847909434,99.81748406904553,SDG,10000,3,f10000_s3
16,62.62557897981613,99.87022441562183,SDG,10000,3,f10000_s3
17,50.16421468099078,99.91314329352727,SDG,10000,3,f10000_s3
18,61.02078413628037,99.94899672297592,SDG,10000,3,f10000_s3
19,48.48911852331707,99.9763163590877,SDG,10000,3,f10000_s3
20,50.310813804659425,100.00000000000003,SDG,10000,3,f10000_s3
1,63.47789580226577,39.002997161520156,EXP,20000,3,f20000_s3
2,58.521468259278855,75.70104170369987,EXP,20000,3,f20000_s3
3,83.04773458683302,86.40511397760962,EXP,20000,3,f20000_s3
