ID,group,Typology,threshold_mm,n_total,n_retained,pct_retained,L_min_retained,L_max_retained
EXP01_Levallois preferential,EXP,Levallois preferential,0.0,35,35,100.0,7.243,84.916
EXP01_Levallois preferential,EXP,Levallois preferential,5.0,35,35,100.0,7.243,84.916
EXP01_Levallois preferential,EXP,Levallois preferential,10.0,35,32,91.43,12.558,84.916
EXP02_Cylindrical bidirectional,EXP,Bidirectional,0.0,19,19,100.0,8.344,49.506
EXP02_Cylindrical bidirectional,EXP,Bidirectional,5.0,19,19,100.0,8.344,49.506
EXP02_Cylindrical bidirectional,EXP,Bidirectional,10.0,19,17,89.47,10.354,49.506
EXP03_Conical unidirectional,EXP,Unidirectional,0.0,10,10,100.0,11.606,24.854
EXP03_Conical unidirectional,EXP,Unidirectional,5.0,10,10,100.0,11.606,24.854
EXP03_Conical unidirectional,EXP,Unidirectional,10.0,10,10,100.0,11.606,24.854
EXP04_Levallois preferential,EXP,Levallois preferential,0.0,29,29,100.0,2.447,66.639
EXP04_Levallois preferential,EXP,Levallois preferential,5.0,29,26,89.66,7.0,66.639
EXP04_Levallois preferential,EXP,Levallois preferential,10.0,29,20,68.97,10.332,66.639
EXP05_Levallois preferential,EXP,Levallois preferential,0.0,24,24,100.0,2.977,82.297
EXP05_Levallois preferential,EXP,Levallois preferential,5.0,24,23,95.83,7.785,82.297
EXP05_Levallois preferential,EXP,Levallois preferential,10.0,24,20,83.33,10.153,82.297
EXP06_Levallois convergent,EXP,Levallois convergent,0.0,22,22,100.0,2.782,62.932
EXP06_Levallois convergent,EXP,Levallois convergent,5.0,22,18,81.82,5.245,62.932
EXP06_Levallois convergent,EXP,Levallois convergent,10.0,22,13,59.09,10.164,62.932
EXP07_Levallois preferential,EXP,Levallois preferential,0.0,27,27,100.0,7.457,59.872
EXP07_Levallois preferential,EXP,Levallois preferential,5.0,27,27,100.0,7.457,59.872
EXP07_Levallois preferential,EXP,Levallois preferential,10.0,27,21,77.78,10.628,59.872
