ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,32,0.0,0.3792122,0.39403772,0.17283127,0.03011332,0.02090462,0.00237189,0.00046507,4.036e-05,1.516e-05,2.77e-06,3.56e-06,9.1e-07,7.4e-07,2.5e-07,8e-08,4e-08,2e-08,0.0,2e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,17,0.0,0.22102091,0.45577011,0.13430778,0.16715206,0.01383639,0.00700885,0.00070783,0.00017466,1.234e-05,5.58e-06,1.78e-06,9.9e-07,4.4e-07,2e-07,7e-08,2e-08,0.0,0.0,0.0,1e-08
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.49026562,0.33054949,0.1286726,0.03739264,0.01011217,0.00247198,0.00046727,6.236e-05,5.49e-06,3.3e-07,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP04_Levallois preferential,Levallois preferential,20,0.0,0.45443013,0.29989387,0.16530387,0.06002355,0.0165522,0.00288577,0.00079563,7.894e-05,1.651e-05,7.11e-06,6e-06,2.12e-06,2.79e-06,4.2e-07,8.5e-07,6e-08,1.5e-07,2e-08,1e-08,2e-08
EXP05_Levallois preferential,Levallois preferential,20,0.0,0.45508956,0.24846394,0.1146045,0.14906032,0.02832982,0.00365977,0.00058994,0.00013907,2.465e-05,2.256e-05,5.45e-06,6.95e-06,1.21e-06,1.72e-06,1.8e-07,2.4e-07,2e-08,4e-08,2e-08,4e-08
EXP06_Levallois convergent,Levallois convergent,13,0.0,0.47475108,0.07564304,0.31281728,0.11957839,0.01356254,0.00264811,0.00079187,0.00010628,4.494e-05,2.773e-05,1.429e-05,8.3e-06,3.78e-06,1.6e-06,5.4e-07,1.2e-07,2e-08,2e-08,3e-08,4e-08
EXP07_Levallois preferential,Levallois preferential,21,0.0,0.53520313,0.33328895,0.08315435,0.02554834,0.01750043,0.0047035,0.00046508,8.546e-05,3.207e-05,8.1e-06,6.22e-06,2.25e-06,1.34e-06,4.3e-07,1.8e-07,4e-08,5e-08,1e-08,4e-08,2e-08
EXP08_Levallois preferential,Levallois preferential,19,0.0,0.54883052,0.28202899,0.14999185,0.0077003,0.00877822,0.00188875,0.0006858,6.779e-05,1.332e-05,7.06e-06,3.08e-06,2.46e-06,8.7e-07,6.8e-07,1.6e-07,1.1e-07,2e-08,0.0,1e-08,1e-08
EXP09_Levallois preferential,Levallois preferential,8,0.0,0.59215498,0.14827685,0.1049071,0.12195595,0.02712669,0.00424709,0.00098496,0.00022958,5.89e-05,2.98e-05,1.419e-05,8.09e-06,3.5e-06,1.53e-06,4.9e-07,1.3e-07,3e-08,4e-08,4e-08,5e-08
EXP10_Cylindrical unidirectional,Unidirectional,15,0.0,0.4925229,0.24015646,0.17927396,0.06943836,0.01528226,0.00266516,0.00055853,8.289e-05,1.376e-05,3.33e-06,1.27e-06,6.4e-07,2.5e-07,1.6e-07,2e-08,2e-08,1e-08,0.0,1e-08,0.0
