order,cv_pct,cumul_pct,dataset,threshold_mm
1,36.63990978400806,41.470950577119694,EXP,0
2,43.925710943807616,68.69341889284544,EXP,0
3,50.21702878411286,88.52131832285804,EXP,0
4,54.65699036888062,97.53301192509511,EXP,0
5,66.33441974821986,99.5552753885491,EXP,0
6,62.95010700219574,99.91999901671863,EXP,0
7,78.89908905291149,99.98226391520313,EXP,0
8,78.96996628724064,99.99356189828653,EXP,0
9,121.35012267800047,99.99673235592279,EXP,0
10,209.32037070647112,99.99830154236798,EXP,0
11,147.73594411402377,99.99911732203135,EXP,0
12,208.7050142642277,99.99962166101585,EXP,0
13,135.2315979444819,99.99982044067744,EXP,0
14,197.5048585767945,99.99994120338967,EXP,0
15,129.7461429804204,99.99997147457618,EXP,0
16,177.6995118324678,99.99998764406777,EXP,0
17,128.77884807506274,99.99999218644065,EXP,0
18,144.3082663942749,99.9999941694915,EXP,0
19,198.33912374234416,99.99999772881355,EXP,0
20,190.31803357181693,100,EXP,0
1,38.00593569388189,45.046284606557194,SDG,0
2,43.802915385324006,77.79184456167499,SDG,0
3,48.58115962868833,92.25312307669489,SDG,0
4,57.79841236921557,98.13313171946584,SDG,0
5,63.87453690017153,99.62816574389961,SDG,0
6,67.01041422961087,99.93014965425337,SDG,0
7,70.41769339911217,99.98774376358513,SDG,0
8,76.52668150089367,99.99627774543899,SDG,0
9,133.6794618979849,99.99831134544749,SDG,0
10,220.42791326629293,99.99911478181448,SDG,0
11,234.05625880021975,99.99957552727096,SDG,0
12,242.62093343841227,99.99981090909013,SDG,0
13,256.3320791539072,99.9999232181815,SDG,0
14,238.43511711069235,99.99997276363626,SDG,0
15,277.23046676120345,99.99998923636359,SDG,0
16,234.93130585571458,99.99999438181817,SDG,0
17,177.11758575804743,99.99999625454545,SDG,0
18,203.20933253338512,99.9999971090909,SDG,0
19,174.79810622932703,99.9999988,SDG,0
20,235.37466849238734,100,SDG,0
1,37.3874016355115,40.81711905603772,EXP,5
2,43.726320932921865,68.26918867584736,EXP,5
3,50.14139847422643,88.37280733031297,EXP,5
4,54.797380502808416,97.5265918928552,EXP,5
5,66.07116707229657,99.5484286769711,EXP,5
6,63.54070225906244,99.91815833880271,EXP,5
7,77.7124226192042,99.9819695592823,EXP,5
8,79.09899672967742,99.99345308473134,EXP,5
9,121.08379617926907,99.996670593213,EXP,5
10,206.505536042743,99.99826630508092,EXP,5
11,146.20062737272028,99.99909913559122,EXP,5
12,205.93069630120576,99.99961228813473,EXP,5
13,133.51363657852428,99.99981642372842,EXP,5
14,194.75068193471776,99.99993947457614,EXP,5
15,127.7712896743764,99.9999708644067,EXP,5
16,174.6696243533571,99.99998744067794,EXP,5
17,128.54125086173497,99.99999206779658,EXP,5
18,143.28653525524402,99.99999411864405,EXP,5
19,199.7748752519244,99.9999976779661,EXP,5
20,187.7940574090354,100,EXP,5
1,38.62168362981234,45.098738281286096,SDG,5
2,44.75388300691876,77.85435982453484,SDG,5
3,48.90384514033313,92.253117370421,SDG,5
4,58.02682425303281,98.12764175648738,SDG,5
5,63.62400298960556,99.62656656221053,SDG,5
6,66.57092122769973,99.92949316336717,SDG,5
7,69.55175904134313,99.9876334181346,SDG,5
8,75.11279383233801,99.99626192725846,SDG,5
9,132.5371540973696,99.9983101454481,SDG,5
10,219.97426818296145,99.99911496363299,SDG,5
11,234.03754799891962,99.99957572727112,SDG,5
12,242.73826872187797,99.99981099999928,SDG,5
13,256.4226978064564,99.99992327272699,SDG,5
14,238.7131242405135,99.99997276363626,SDG,5
15,277.5613522198799,99.99998921818178,SDG,5
16,234.93130585571458,99.99999436363635,SDG,5
17,177.11758575804743,99.99999623636363,SDG,5
18,203.20933253338512,99.99999709090909,SDG,5
19,172.86521777167627,99.99999880000001,SDG,5
20,235.37466849238734,100.00000000000003,SDG,5
1,37.75718903425635,40.929243836733285,EXP,10
