ID,group,stl_format,faces_raw,vertices_raw,faces_decimated,vertices_decimated,decimation_active
EXP01_Levallois preferential,EXP,binary,492608,1477072,20000,30135,True
EXP02_Cylindrical bidirectional,EXP,binary,492462,1476837,20000,32387,True
EXP03_Conical unidirectional,EXP,binary,389924,1169006,20000,27427,True
EXP04_Levallois preferential,EXP,binary,493228,1479214,20000,31311,True
EXP05_Levallois preferential,EXP,binary,382298,1146199,20000,45384,True
EXP06_Levallois convergent,EXP,binary,768016,2303136,20000,26430,True
EXP07_Levallois preferential,EXP,binary,499182,1497396,20000,31473,True
EXP08_Levallois preferential,EXP,binary,490300,1470102,20000,32420,True
EXP09_Levallois preferential,EXP,binary,290334,870593,20000,21296,True
EXP10_Cylindrical unidirectional,EXP,binary,508202,1524304,20000,24911,True
EXP11_Cylindrical bidirectional,EXP,binary,519538,1558043,20000,21217,True
EXP12_Discoid,EXP,binary,498056,1493604,20000,27979,True
EXP13_Conical unidirectional,EXP,binary,426748,1279664,20000,23721,True
EXP14_Levallois convergent,EXP,binary,496416,1488770,20000,33489,True
EXP15_Levallois convergent,EXP,binary,496139,1488243,20000,22558,True
EXP16_Discoid,EXP,binary,495658,1486716,20000,32884,True
EXP17_Discoid,EXP,binary,323636,970644,20000,19823,True
EXP18_Discoid,EXP,binary,157498,472330,20000,17890,True
EXP19_Levallois preferential,EXP,binary,495350,1485922,20000,27649,True
EXP20_Cylindrical bidirectional,EXP,binary,452282,1356544,20000,24229,True
EXP21_Levallois preferential,EXP,binary,495876,1487256,20000,25398,True
EXP22_Cylindrical unidirectional,EXP,binary,496343,1488827,20000,24740,True
EXP23_Cylindrical unidirectional,EXP,binary,311360,933867,20000,45499,True
EXP24_Cylindrical unidirectional,EXP,binary,497498,1492229,20000,24558,True
EXP25_Levallois Nubian,EXP,binary,496464,1488774,20000,26486,True
EXP26_Levallois recurrent,EXP,binary,282224,846376,20000,45053,True
EXP27_Levallois convergent,EXP,binary,510634,1531760,20000,31391,True
EXP28_Levallois convergent,EXP,binary,491570,1474538,20000,32177,True
EXP29_Levallois preferential,EXP,binary,495990,1487842,20000,33384,True
EXP30_Levallois Nubian,EXP,binary,495722,1487018,20000,33562,True
EXP31_Levallois laminar,EXP,binary,294362,882515,20000,41435,True
EXP32_Conical unidirectional,EXP,binary,491874,1475353,20000,24387,True
EXP33_Cylindrical bidirectional,EXP,binary,493970,1481402,20000,25753,True
EXP34_Multiplatform,EXP,binary,494522,1483204,20000,25326,True
EXP35_Levallois laminar,EXP,binary,496306,1488465,20000,26932,True
EXP36_Conical unidirectional,EXP,binary,495606,1486600,20000,21979,True
EXP37_Conical unidirectional,EXP,binary,499654,1498766,20000,22492,True
EXP38_Multiplatform,EXP,binary,498326,1494574,20000,26004,True
EXP39_Multiplatform,EXP,binary,498306,1494689,20000,31721,True
EXP40_Conical unidirectional,EXP,binary,463702,1390686,20000,25826,True
EXP41_Subconical unidirectional,EXP,binary,280698,841526,20000,40970,True
EXP42_Multiplatform,EXP,binary,439692,1318776,20000,49569,True
EXP43_Biface,EXP,binary,189134,567296,20000,40882,True
EXP44_Multiplatform,EXP,binary,498134,1494182,20000,23529,True
EXP45_Conical unidirectional,EXP,binary,493944,1481590,20000,33637,True
EXP46_Conical unidirectional,EXP,binary,491804,1475186,20000,22117,True
EXP47_Conical bidirectional,EXP,binary,398114,1194073,20000,49063,True
EXP48_Multiplatform,EXP,binary,498016,1493858,20000,31918,True
EXP49_Discoid,EXP,binary,334312,1002110,20000,45413,True
EXP50_Multiplatform,EXP,binary,246821,740209,20000,20009,True
EXP51_Conical unidirectional,EXP,binary,498710,1495832,20000,27258,True
EXP52_Levallois preferential,EXP,binary,497098,1490393,20000,25697,True
EXP53_Levallois recurrent,EXP,binary,495846,1487160,20000,33250,True
EXP54_Multiplatform,EXP,binary,372492,1116148,20000,30339,True
EXP55_Multiplatform,EXP,binary,476294,1427316,20000,32576,True
EXP56_Multiplatform,EXP,binary,499352,1497420,20000,39061,True
EXP57_Conical bidirectional,EXP,binary,343708,1030099,20000,29687,True
EXP58_Conical unidirectional,EXP,binary,435932,1306404,20000,29937,True
EXP59_Subconical unidirectional,EXP,binary,499640,1497769,20000,35813,True
SDG_L2_489,SDG,binary,51094,153276,20000,17017,True
SDG_L2_494,SDG,binary,297584,892702,20000,21335,True
SDG_L3_1066,SDG,binary,184996,554962,20000,21815,True
SDG_L3_1163,SDG,binary,189978,569916,20000,30517,True
SDG_L3_1191,SDG,binary,184486,553430,20000,24610,True
SDG_L3_1318,SDG,binary,184218,552632,20000,29365,True
SDG_L3_1416,SDG,binary,176404,529186,20000,22670,True
SDG_L3_1437,SDG,binary,192740,578204,20000,23284,True
SDG_L3_1492,SDG,binary,196658,589940,20000,25555,True
SDG_L3_1547,SDG,binary,187048,561128,20000,30122,True
SDG_L3_155,SDG,binary,171002,512974,20000,22812,True
SDG_L3_1677,SDG,binary,192352,577028,20000,21713,True
SDG_L3_1748,SDG,binary,198424,595228,20000,24443,True
SDG_L3_188,SDG,binary,174328,522968,20000,20292,True
SDG_L3_303,SDG,binary,167956,503848,20000,24186,True
SDG_L3_434,SDG,binary,172056,516136,20000,27594,True
SDG_L3_55,SDG,binary,174080,522208,20000,19310,True
SDG_L3_636,SDG,binary,190444,571302,20000,31121,True
SDG_L3_645,SDG,binary,188146,564414,20000,23753,True
SDG_L3_804,SDG,binary,198580,595686,20000,21469,True
SDG_L3_890,SDG,binary,195142,585390,20000,29748,True
SDG_L3_978,SDG,binary,189226,567632,20000,21438,True
SDG_L4_1788,SDG,binary,181558,544648,20000,30808,True
SDG_L4_1884,SDG,binary,179770,539284,20000,24468,True
SDG_L4_1916,SDG,binary,199924,599738,20000,28094,True
SDG_L4_1951,SDG,binary,196260,588766,20000,22345,True
SDG_L4_2001,SDG,binary,188914,566686,20000,24958,True
SDG_L4_2004,SDG,binary,190448,571304,20000,20144,True
SDG_L4_2158,SDG,binary,196320,588930,20000,31660,True
SDG_L4_2164,SDG,binary,183518,550534,20000,26426,True
SDG_L4_2165,SDG,binary,2699912,8098118,20000,36988,True
