space,set,p_max
M,EXP (leave-one-out),0.25
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.1
M,EXP (leave-one-out),0.6
M,EXP (leave-one-out),0.4375
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.55
M,EXP (leave-one-out),0.5
M,EXP (leave-one-out),0.6666666666666666
M,EXP (leave-one-out),0.06666666666666667
M,EXP (leave-one-out),0.5625
M,EXP (leave-one-out),0.4375
M,EXP (leave-one-out),0.4666666666666667
M,EXP (leave-one-out),0.9
M,EXP (leave-one-out),0.8
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.5
M,EXP (leave-one-out),0.875
M,EXP (leave-one-out),0.45
M,EXP (leave-one-out),0.42857142857142855
M,EXP (leave-one-out),0.4375
M,EXP (leave-one-out),0.5333333333333333
M,EXP (leave-one-out),0.7619047619047619
M,EXP (leave-one-out),0.06666666666666667
M,EXP (leave-one-out),0.9
M,EXP (leave-one-out),0.8333333333333334
M,EXP (leave-one-out),0.0625
M,EXP (leave-one-out),0.55
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.0625
M,EXP (leave-one-out),0.0625
M,EXP (leave-one-out),1
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.16666666666666666
M,EXP (leave-one-out),0.0625
M,EXP (leave-one-out),0.06666666666666667
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.8571428571428571
M,EXP (leave-one-out),0.625
M,EXP (leave-one-out),0.06666666666666667
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.375
M,EXP (leave-one-out),0.625
M,EXP (leave-one-out),0.06666666666666667
M,EXP (leave-one-out),0
M,EXP (leave-one-out),0.0625
M,EXP (leave-one-out),0.6666666666666666
M,EXP (leave-one-out),0.8571428571428571
M,EXP (leave-one-out),0.4375
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.5
M,EXP (leave-one-out),0.6666666666666666
M,EXP (leave-one-out),0.625
M,EXP (leave-one-out),1
M,EXP (leave-one-out),0.0625
M,EXP (leave-one-out),0.5
M,EXP (leave-one-out),0.9523809523809523
M,EXP (leave-one-out),0.9
SP,EXP (leave-one-out),0.1
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),0.8571428571428571
SP,EXP (leave-one-out),0.95
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),0.2
SP,EXP (leave-one-out),0.1
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0
SP,EXP (leave-one-out),0.5
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.8
SP,EXP (leave-one-out),0.7
SP,EXP (leave-one-out),0.16666666666666666
SP,EXP (leave-one-out),0
SP,EXP (leave-one-out),0.7619047619047619
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.2
SP,EXP (leave-one-out),0.6666666666666666
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.8095238095238095
SP,EXP (leave-one-out),0.35
SP,EXP (leave-one-out),0.2
SP,EXP (leave-one-out),0.55
SP,EXP (leave-one-out),0
SP,EXP (leave-one-out),0.25
SP,EXP (leave-one-out),0.85
SP,EXP (leave-one-out),0.8
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),0.2
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.8571428571428571
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),0.6666666666666666
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),0.7619047619047619
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.8666666666666667
SP,EXP (leave-one-out),0.6190476190476191
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.7619047619047619
SP,EXP (leave-one-out),0.75
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.6190476190476191
SP,EXP (leave-one-out),0.7
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.6
SP,EXP (leave-one-out),1
SP,EXP (leave-one-out),0.4
SP,EXP (leave-one-out),1
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.6
MFA,EXP (leave-one-out),0.06666666666666667
MFA,EXP (leave-one-out),0.7
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.9
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.8
MFA,EXP (leave-one-out),0.06666666666666667
MFA,EXP (leave-one-out),0
MFA,EXP (leave-one-out),0
MFA,EXP (leave-one-out),0.6
MFA,EXP (leave-one-out),0.6
MFA,EXP (leave-one-out),0.7
MFA,EXP (leave-one-out),0.16666666666666666
MFA,EXP (leave-one-out),0
MFA,EXP (leave-one-out),0.75
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.6
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.6666666666666666
MFA,EXP (leave-one-out),0.8571428571428571
MFA,EXP (leave-one-out),0.06666666666666667
MFA,EXP (leave-one-out),0.6
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.2
MFA,EXP (leave-one-out),0
MFA,EXP (leave-one-out),0.75
MFA,EXP (leave-one-out),0.2
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.4
MFA,EXP (leave-one-out),0.2
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.0625
MFA,EXP (leave-one-out),0.09523809523809523
MFA,EXP (leave-one-out),1
MFA,EXP (leave-one-out),0.4
MFA,EXP (leave-one-out),0.23809523809523808
MFA,EXP (leave-one-out),0.06666666666666667
MFA,EXP (leave-one-out),1
MFA,EXP (leave-one-out),0.8888888888888888
MFA,EXP (leave-one-out),1
MFA,EXP (leave-one-out),0.06666666666666667
MFA,EXP (leave-one-out),0
MFA,EXP (leave-one-out),0.4
MFA,EXP (leave-one-out),0.6666666666666666
MFA,EXP (leave-one-out),0.09523809523809523
MFA,EXP (leave-one-out),0.6666666666666666
MFA,EXP (leave-one-out),0.8
MFA,EXP (leave-one-out),0.3125
MFA,EXP (leave-one-out),0.9
MFA,EXP (leave-one-out),0
MFA,EXP (leave-one-out),0.9523809523809523
MFA,EXP (leave-one-out),0.1111111111111111
MFA,EXP (leave-one-out),0.6
MFA,EXP (leave-one-out),0.4
MFA,EXP (leave-one-out),1
M,SDG (projected),0.6666666666666666
M,SDG (projected),0.9375
M,SDG (projected),1
M,SDG (projected),0.5625
M,SDG (projected),0.6666666666666666
M,SDG (projected),1
M,SDG (projected),1
M,SDG (projected),1
M,SDG (projected),0.9523809523809523
M,SDG (projected),0.9523809523809523
M,SDG (projected),0.4375
M,SDG (projected),1
M,SDG (projected),0.4375
M,SDG (projected),0.8571428571428571
M,SDG (projected),0.47619047619047616
M,SDG (projected),0.625
M,SDG (projected),1
M,SDG (projected),1
