space,ID,sdg_type,raw_material,layer,nearest_exp_type,nearest_p_emp,nearest_D2
M,SDG_L2_489,Bifacial_adjacent,chert,2,Bidirectional,0.6666666666666666,3.842382836664231
M,SDG_L2_494,Unifacial_unidirection,chert,2,Unidirectional,0.9375,2.005041896303748
M,SDG_L3_1066,Unifacial_centripetal,chert,3,Multiplatform,1,3.342739365786758
M,SDG_L3_1163,Multifacial,sandstone,3,Unidirectional,0.5625,5.549212833827973
M,SDG_L3_1191,Unifacial_centripetal,chert,3,Bidirectional,0.6666666666666666,5.236895915751114
M,SDG_L3_1416,Unifacial_centripetal,chert,3,Bidirectional,1,1.011624636187624
M,SDG_L3_1437,Multifacial,chert,3,Multiplatform,1,1.6486986662419953
M,SDG_L3_1492,Unifacial_centripetal,chert,3,Levallois,1,0.6353969331600521
M,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Levallois,0.9523809523809523,2.6525374082079543
M,SDG_L3_155,Multifacial,chert,3,Levallois,0.9523809523809523,3.0593337933939906
M,SDG_L3_1677,Unifacial_unidirection,chert,3,Unidirectional,0.4375,7.369324347539807
M,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Multiplatform,1,2.8455815240537206
M,SDG_L3_188,Unifacial_unidirection,chert,3,Unidirectional,0.4375,9.757812732064371
M,SDG_L3_303,Bifacial_independent,chert,3,Levallois,0.8571428571428571,3.3401220130378046
M,SDG_L3_434,Bifacial_adjacent,chert,3,Levallois,0.47619047619047616,5.3211979122104935
M,SDG_L3_55,Unifacial_unidirection,chert,3,Unidirectional,0.625,4.832039754448404
M,SDG_L3_645,Unifacial_unidirection,chert,3,Multiplatform,1,2.494335108998965
M,SDG_L3_804,Core_on_flake,chert,3,Discoid,1,0.8325656148834368
M,SDG_L3_890,Bifacial_adjacent,chert,3,Levallois,1,2.1897309154852684
M,SDG_L3_978,Unifacial_centripetal,chert,3,Levallois,0.8571428571428571,3.18227676640748
M,SDG_L4_1788,Multifacial,sandstone,4,Levallois,0.9047619047619048,3.062596043310767
M,SDG_L4_1884,Unifacial_centripetal,chert,4,Levallois,1,2.0347722545754197
M,SDG_L4_1916,Multifacial,sandstone,4,Unidirectional,0.3125,11.075780464928265
M,SDG_L4_1951,Unifacial_centripetal,chert,4,Discoid,1,1.2850498509466561
M,SDG_L4_2001,Core_on_flake,chert,4,Multiplatform,1,3.5832060082802486
M,SDG_L4_2004,Unifacial_centripetal,chert,4,Unidirectional,1,0.8927606625564265
M,SDG_L4_2158,Bifacial_adjacent,sandstone,4,Unidirectional,0.4375,8.979260423081985
M,SDG_L4_2164,Unifacial_centripetal,chert,4,Unidirectional,0.0625,17.515740197814907
M,SDG_L4_2165,Core_on_flake,chert,4,Unidirectional,0.5,6.82559552515528
M,SDG_L4_2182,Core_on_flake,sandstone,4,Multiplatform,1,2.171164722066197
M,SDG_L4_2213,Core_on_flake,chert,4,Bidirectional,1,1.0246405876332636
M,SDG_L4_2292,Unifacial_centripetal,chert,4,Unidirectional,0.5625,6.103508263499001
M,SDG_L4_2389,Multifacial,sandstone,4,Multiplatform,0.7,4.9782538481633845
M,SDG_L4_2527,Unifacial_unidirection,chert,4,Unidirectional,0.625,4.256056390035734
M,SDG_L4_2733,Bifacial_independent,chert,4,Multiplatform,1,1.1609883832631214
M,SDG_L4_2818,Multifacial,sandstone,4,Multiplatform,0.9,4.008300036635921
M,SDG_L4_3095,Bifacial_adjacent,chert,4,Levallois,0.42857142857142855,6.259931317986889
M,SDG_L4_3155,Unifacial_unidirection,chert,4,Multiplatform,0.7,4.403711321680152
M,SDG_L4_3192,Multifacial,chert,4,Multiplatform,1,1.333233132547583
M,SDG_L4_3283,Multifacial,sandstone,4,Unidirectional,0.0625,22.03955348350528
M,SDG_L4_3342,Multifacial,chert,4,Levallois,0.9523809523809523,2.978636364915017
M,SDG_L4_3506,Multifacial,chert,4,Bidirectional,0.6666666666666666,2.7404729962270786
M,SDG_L4_3513,Multifacial,sandstone,4,Multiplatform,1,3.2483490727107163
M,SDG_L4_3821,Multifacial,chert,4,Multiplatform,1,3.032104677755961
M,SDG_L4_3952,Bifacial_adjacent,sandstone,4,Unidirectional,0.0625,21.166189095923972
M,SDG_L4_3971,Bifacial_independent,chert,4,Bidirectional,0.6666666666666666,5.087884854964589
M,SDG_L4_4262,Bifacial_adjacent,chert,4,Unidirectional,0.4375,8.229423492515172
M,SDG_L4_4386,Unifacial_centripetal,chert,4,Multiplatform,1,3.731328408269359
M,SDG_L4_4460,Unifacial_unidirection,chert,4,Unidirectional,0.5625,5.917470979488813
M,SDG_L4_4583,Unifacial_centripetal,chert,4,Multiplatform,1,3.1110015006897123
SP,SDG_L2_489,Bifacial_adjacent,chert,2,Levallois,1,1.258519784555754
SP,SDG_L2_494,Unifacial_unidirection,chert,2,Levallois,1,1.279062077182938
SP,SDG_L3_1066,Unifacial_centripetal,chert,3,Levallois,0.8571428571428571,2.441726745264424
SP,SDG_L3_1163,Multifacial,sandstone,3,Levallois,1,1.6181100702842346
SP,SDG_L3_1191,Unifacial_centripetal,chert,3,Levallois,0.9523809523809523,1.9350820246468
SP,SDG_L3_1416,Unifacial_centripetal,chert,3,Levallois,0.047619047619047616,10.50377810376866
SP,SDG_L3_1437,Multifacial,chert,3,Discoid,0.8,6.124395837103586
SP,SDG_L3_1492,Unifacial_centripetal,chert,3,Levallois,0.5238095238095238,4.494533938204452
SP,SDG_L3_1547,Bifacial_adjacent,sandstone,3,Levallois,0.6190476190476191,4.136162157605904
SP,SDG_L3_155,Multifacial,chert,3,Discoid,0.2,13.222823525366582
SP,SDG_L3_1677,Unifacial_unidirection,chert,3,Levallois,0.47619047619047616,4.857367458303931
SP,SDG_L3_1748,Bifacial_adjacent,sandstone,3,Levallois,0.5238095238095238,4.38158231188108
SP,SDG_L3_188,Unifacial_unidirection,chert,3,Unidirectional,0,12.119571269468498
SP,SDG_L3_303,Bifacial_independent,chert,3,Bidirectional,0.6666666666666666,3.240546315307798
SP,SDG_L3_434,Bifacial_adjacent,chert,3,Levallois,0.3333333333333333,5.4740474513461574
SP,SDG_L3_55,Unifacial_unidirection,chert,3,Levallois,0.7619047619047619,3.061328162744379
SP,SDG_L3_645,Unifacial_unidirection,chert,3,Levallois,0.7619047619047619,3.0675663049366992
SP,SDG_L3_804,Core_on_flake,chert,3,Discoid,0.6,10.547378468249947
SP,SDG_L3_890,Bifacial_adjacent,chert,3,Levallois,0.7619047619047619,3.1363105316608006
SP,SDG_L3_978,Unifacial_centripetal,chert,3,Unidirectional,0,20.68885477908732
SP,SDG_L4_1788,Multifacial,sandstone,4,Levallois,0.47619047619047616,4.909790187756003
SP,SDG_L4_1884,Unifacial_centripetal,chert,4,Levallois,0.6666666666666666,3.8883008947678785
SP,SDG_L4_1916,Multifacial,sandstone,4,Discoid,0.6,10.053860303047916
SP,SDG_L4_1951,Unifacial_centripetal,chert,4,Levallois,0.8095238095238095,2.5074919833017226
SP,SDG_L4_2001,Core_on_flake,chert,4,Levallois,1,1.557745992036555
SP,SDG_L4_2004,Unifacial_centripetal,chert,4,Discoid,0.6,11.300740717266192
SP,SDG_L4_2158,Bifacial_adjacent,sandstone,4,Levallois,0.09523809523809523,7.577959902083585
SP,SDG_L4_2164,Unifacial_centripetal,chert,4,Unidirectional,0,18.884172763407143
SP,SDG_L4_2165,Core_on_flake,chert,4,Unidirectional,0,40.79250625987433
SP,SDG_L4_2182,Core_on_flake,sandstone,4,Unidirectional,0,8.445005928094208
SP,SDG_L4_2213,Core_on_flake,chert,4,Discoid,0.6,9.244180688197327
SP,SDG_L4_2292,Unifacial_centripetal,chert,4,Discoid,0.6,8.907279292743937
SP,SDG_L4_2389,Multifacial,sandstone,4,Discoid,0.2,14.978767223179295
SP,SDG_L4_2527,Unifacial_unidirection,chert,4,Unidirectional,0.6875,1.0416327461699404
SP,SDG_L4_2733,Bifacial_independent,chert,4,Multiplatform,0.1,10.69778697119426
SP,SDG_L4_2818,Multifacial,sandstone,4,Levallois,0.23809523809523808,5.893891678560996
SP,SDG_L4_3095,Bifacial_adjacent,chert,4,Levallois,0.6666666666666666,3.836581921293864
