space,ID,sdg_type,raw_material,layer,exp_type,D2,p_emp,p_chisq
M,SDG_L2_489,Bifacial_adjacent,chert,2,Unidirectional,6.509525786250303,0.5625,0.48166562876172164
M,SDG_L2_489,Bifacial_adjacent,chert,2,Bidirectional,3.842382836664231,0.6666666666666666,0.7977423967774949
M,SDG_L2_489,Bifacial_adjacent,chert,2,Levallois,5.183853958283845,0.47619047619047616,0.6375378201859735
M,SDG_L2_489,Bifacial_adjacent,chert,2,Discoid,9.281067137003166,0,0.2331015498228399
M,SDG_L2_489,Bifacial_adjacent,chert,2,Multiplatform,5.598078368471887,0.4,0.5873816355326876
M,SDG_L2_494,Unifacial_unidirection,chert,2,Unidirectional,2.005041896303748,0.9375,0.9595607839937385
M,SDG_L2_494,Unifacial_unidirection,chert,2,Bidirectional,4.49071617734566,0.6666666666666666,0.721834912870604
M,SDG_L2_494,Unifacial_unidirection,chert,2,Levallois,5.526076926839625,0.47619047619047616,0.5960403907179229
M,SDG_L2_494,Unifacial_unidirection,chert,2,Discoid,2.823780384611969,0.8,0.9008113698772781
M,SDG_L2_494,Unifacial_unidirection,chert,2,Multiplatform,3.855627560045623,0.9,0.7962481180312968
M,SDG_L3_1066,Unifacial_centripetal,chert,3,Unidirectional,4.348586613885623,0.625,0.7388648463307792
M,SDG_L3_1066,Unifacial_centripetal,chert,3,Bidirectional,5.814708370378043,0.5,0.5615440367620717
M,SDG_L3_1066,Unifacial_centripetal,chert,3,Levallois,3.9334860938341043,0.8095238095238095,0.7874058841094592
M,SDG_L3_1066,Unifacial_centripetal,chert,3,Discoid,3.6295220592117112,0.6,0.8213223341659512
M,SDG_L3_1066,Unifacial_centripetal,chert,3,Multiplatform,3.342739365786758,1,0.8515908626781385
M,SDG_L3_1163,Multifacial,sandstone,3,Unidirectional,5.549212833827973,0.5625,0.5932546992321208
M,SDG_L3_1163,Multifacial,sandstone,3,Bidirectional,9.253947942133346,0.16666666666666666,0.23493424228669393
M,SDG_L3_1163,Multifacial,sandstone,3,Levallois,10.152657238648894,0,0.18008632627408971
M,SDG_L3_1163,Multifacial,sandstone,3,Discoid,6.283711671624741,0.2,0.5070398402767498
M,SDG_L3_1163,Multifacial,sandstone,3,Multiplatform,5.669172441503594,0.4,0.5788645895952208
M,SDG_L3_1191,Unifacial_centripetal,chert,3,Unidirectional,7.990533064209512,0.4375,0.33342942967657563
M,SDG_L3_1191,Unifacial_centripetal,chert,3,Bidirectional,5.236895915751114,0.6666666666666666,0.6310784885820541
M,SDG_L3_1191,Unifacial_centripetal,chert,3,Levallois,4.346908964847167,0.5714285714285714,0.7390648690528132
M,SDG_L3_1191,Unifacial_centripetal,chert,3,Discoid,7.506923301317802,0,0.37807020644140854
M,SDG_L3_1191,Unifacial_centripetal,chert,3,Multiplatform,7.956550757294756,0.2,0.3364408206641317
M,SDG_L3_1416,Unifacial_centripetal,chert,3,Unidirectional,1.3396084800647188,0.9375,0.9873496248076448
M,SDG_L3_1416,Unifacial_centripetal,chert,3,Bidirectional,1.011624636187624,1,0.9946388288947703
M,SDG_L3_1416,Unifacial_centripetal,chert,3,Levallois,1.6265035673839405,1,0.9776043114721715
M,SDG_L3_1416,Unifacial_centripetal,chert,3,Discoid,0.878689302885928,1,0.9965555411718722
M,SDG_L3_1416,Unifacial_centripetal,chert,3,Multiplatform,3.150249409510932,1,0.8707636873387382
M,SDG_L3_1437,Multifacial,chert,3,Unidirectional,2.9607718862707717,0.8125,0.8886072731840021
M,SDG_L3_1437,Multifacial,chert,3,Bidirectional,4.466722484943742,0.6666666666666666,0.7247206562171968
M,SDG_L3_1437,Multifacial,chert,3,Levallois,5.2743749127284545,0.47619047619047616,0.6265189507115061
M,SDG_L3_1437,Multifacial,chert,3,Discoid,4.662507131556703,0.4,0.7010705762894993
M,SDG_L3_1437,Multifacial,chert,3,Multiplatform,1.6486986662419953,1,0.9767110127229539
M,SDG_L3_1492,Unifacial_centripetal,chert,3,Unidirectional,3.3998006384907424,0.6875,0.8457217479409469
