descriptor,group,l,mean_power,se,n
M-SPHARM,EXP,1,0.39002997161520153,0.03223253758050413,59
M-SPHARM,EXP,2,0.3669804454217972,0.02795967580030235,59
M-SPHARM,EXP,3,0.10704072273909733,0.01157312961349031,59
M-SPHARM,EXP,4,0.056990520865094256,0.004242116379226288,59
M-SPHARM,EXP,5,0.028967263912600714,0.002810985556726046,59
M-SPHARM,EXP,6,0.0181139590454016,0.001602904812297467,59
M-SPHARM,EXP,7,0.008944180395310315,7.039637481957265e-4,59
M-SPHARM,EXP,8,0.006645618051195175,4.4199368497162804e-4,59
M-SPHARM,EXP,9,0.004208267381098938,3.2076037026170786e-4,59
M-SPHARM,EXP,10,0.003118512787337467,2.2067899509086865e-4,59
M-SPHARM,EXP,11,0.002211193103550539,1.5923279459702865e-4,59
M-SPHARM,EXP,12,0.0017488427240945328,1.6569515651817415e-4,59
M-SPHARM,SDG,1,0.4489216348818347,0.030138231832758013,55
M-SPHARM,SDG,2,0.331826883934465,0.02438075822182637,55
M-SPHARM,SDG,3,0.09030506909430172,0.006505304288811526,55
M-SPHARM,SDG,4,0.05307812347040367,0.003910730052817082,55
M-SPHARM,SDG,5,0.025634485209244835,0.0013849506063051062,55
M-SPHARM,SDG,6,0.016729958128635786,0.0012224190067968168,55
M-SPHARM,SDG,7,0.009637074198079463,6.355869339139562e-4,55
M-SPHARM,SDG,8,0.006776527713450165,4.031457036653459e-4,55
M-SPHARM,SDG,9,0.0043540092519162845,3.21690646358557e-4,55
M-SPHARM,SDG,10,0.003302726423509545,2.2464494308508637e-4,55
M-SPHARM,SDG,11,0.002276882238939931,1.6095808988643705e-4,55
M-SPHARM,SDG,12,0.001707080848593015,1.0040206809404893e-4,55
SP-SPHARM,EXP,1,0.4147095045762712,0.019782099354723994,59
SP-SPHARM,EXP,2,0.27222468237288133,0.015567550860493802,59
SP-SPHARM,EXP,3,0.19827899372881355,0.012962886348208745,59
SP-SPHARM,EXP,4,0.09011693576271186,0.006412481486140693,59
SP-SPHARM,EXP,5,0.020222634576271187,0.0017464279085831294,59
SP-SPHARM,EXP,6,0.003647236271186441,2.989058157074866e-4,59
SP-SPHARM,EXP,7,6.226489830508475e-4,6.395717406620669e-5,59
SP-SPHARM,EXP,8,1.1297983050847458e-4,1.1615472091345372e-5,59
SP-SPHARM,EXP,9,3.1704576271186443e-5,5.008828560543946e-6,59
SP-SPHARM,EXP,10,1.569186440677966e-5,4.276219957959043e-6,59
SP-SPHARM,EXP,11,8.157796610169492e-6,1.5690364740546625e-6,59
SP-SPHARM,EXP,12,5.043389830508474e-6,1.370343411083439e-6,59
SP-SPHARM,SDG,1,0.4504628441818182,0.02308495642106522,55
SP-SPHARM,SDG,2,0.3274555981818182,0.01934078474917687,55
SP-SPHARM,SDG,3,0.14461278454545454,0.009473123976625327,55
SP-SPHARM,SDG,4,0.05880008618181818,0.004582606080993774,55
SP-SPHARM,SDG,5,0.014950340181818182,0.0012876489987090937,55
SP-SPHARM,SDG,6,0.003019839090909091,2.7286306959111383e-4,55
SP-SPHARM,SDG,7,5.75941090909091e-4,5.46862967949895e-5,55
SP-SPHARM,SDG,8,8.533981818181819e-5,8.806092631835374e-6,55
SP-SPHARM,SDG,9,2.0336e-5,3.66563211851419e-6,55
SP-SPHARM,SDG,10,8.034363636363637e-6,2.388013230589492e-6,55
SP-SPHARM,SDG,11,4.607454545454545e-6,1.4541190818686988e-6,55
SP-SPHARM,SDG,12,2.3538181818181817e-6,7.70051617969414e-7,55
