ID,group,hi_share,p3,p4,n_scars
EXP01_Levallois preferential,EXP,5.398005128104872e-4,0.17500803,0.0321164,35
EXP02_Cylindrical bidirectional,EXP,9.521907427087792e-4,0.13570005,0.18655936,19
EXP03_Conical unidirectional,EXP,5.354900053549e-4,0.1286726,0.03739264,10
EXP04_Levallois preferential,EXP,7.479116005308251e-4,0.20066222,0.04952273,29
EXP05_Levallois preferential,EXP,5.605615471498701e-4,0.14510416,0.12670816,24
EXP06_Levallois convergent,EXP,6.189612379224759e-4,0.22745235,0.08549855,22
EXP07_Levallois preferential,EXP,8.14721686473891e-4,0.14021626,0.03232275,27
EXP08_Levallois preferential,EXP,5.995909533496158e-4,0.19409184,0.01910184,28
EXP09_Levallois preferential,EXP,6.868524314576074e-4,0.18097383,0.09832145,27
EXP10_Cylindrical unidirectional,EXP,4.8769002438450124e-4,0.17575596,0.06548551,33
EXP11_Cylindrical bidirectional,EXP,4.7916011979002996e-4,0.26995826,0.11943666,20
EXP12_Discoid,EXP,0.0018410402177732085,0.23032442,0.22456517,17
EXP13_Conical unidirectional,EXP,7.71970887766521e-4,0.15070711,0.11054482,16
EXP14_Levallois convergent,EXP,6.929828620192201e-4,0.11762785,0.05725848,19
EXP15_Levallois convergent,EXP,4.531714954659351e-4,0.19086297,0.07022503,17
EXP16_Discoid,EXP,0.001266934522956247,0.1800671,0.25166533,17
EXP17_Discoid,EXP,9.911257985452287e-4,0.61551975,0.14785216,18
EXP18_Discoid,EXP,5.503534727304129e-4,0.19687002,0.05741513,16
EXP19_Levallois preferential,EXP,6.076833787195857e-4,0.32461386,0.04816929,27
EXP20_Cylindrical bidirectional,EXP,0.0012264856050392152,0.30650152,0.15359858,11
EXP21_Levallois preferential,EXP,0.0010796767479796748,0.04882657,0.10655144,37
EXP22_Cylindrical unidirectional,EXP,4.719303161933119e-4,0.20980832,0.08468247,24
EXP23_Cylindrical unidirectional,EXP,4.992500748875113e-4,0.19432974,0.07604802,27
EXP24_Cylindrical unidirectional,EXP,3.673200073464001e-4,0.1365772,0.03775063,12
EXP25_Levallois Nubian,EXP,9.629338132179004e-4,0.11284897,0.07298304,24
EXP26_Levallois recurrent,EXP,6.716411082078286e-4,0.06198049,0.03469768,21
EXP27_Levallois convergent,EXP,0.001835138608305488,0.09793026,0.10439031,22
EXP28_Levallois convergent,EXP,3.4910040495646975e-4,0.02300617,0.04568059,21
EXP29_Levallois preferential,EXP,3.805208219249753e-4,0.06167146,0.08078927,35
EXP30_Levallois Nubian,EXP,7.819528775865895e-4,0.07466561,0.04782519,29
EXP31_Levallois laminar,EXP,9.322376723160432e-4,0.13712482,0.07205728,32
EXP32_Conical unidirectional,EXP,4.6540060502078655e-4,0.07050697,0.11039871,16
EXP33_Cylindrical bidirectional,EXP,8.555200598864042e-4,0.06957114,0.12154973,15
