space,space_label,ss_type,term,df,SumOfSqs,R2,pseudo_F,p,assemblage,n,n_perm,seed
scar,"D_scar (SP-SPHARM, l = 1-6)",terms,Raw_mat,1,1.3213156005416964,0.017650717941227773,1.0181462899436369,0.3771,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",terms,core_type,5,16.98209044351528,0.2268542718696591,2.617126805051561,0.0033,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",terms,SDI,1,2.0494521834445116,0.027377488322382775,1.5792155455785584,0.187,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",terms,Residual,42,54.5061704500474,0.7281175218667305,NA,NA,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",terms,Total,49,74.85902867754888,1,NA,NA,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",margin,Raw_mat,1,3.5765573433206725,0.04777723417607374,2.755934001217978,0.0391,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",margin,core_type,5,16.825509080147008,0.22476258879369057,2.5929958958089294,0.0036,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",margin,SDI,1,2.04945218344443,0.027377488322381682,1.579215545578495,0.187,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",margin,Residual,42,54.5061704500474,0.7281175218667305,NA,NA,SDG,50,9999,42
scar,"D_scar (SP-SPHARM, l = 1-6)",margin,Total,49,74.85902867754888,1,NA,NA,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",terms,Raw_mat,1,3.8807142815719184,0.04181275024112994,2.4050694385367204,0.0505,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",terms,core_type,5,19.626522910338057,0.21146594183671072,2.4327042400696794,0.0023,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",terms,SDI,1,1.5351540299649002,0.016540514807131368,0.9514104293757815,0.4051,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",terms,Residual,42,67.76935302341461,0.7301807931150279,NA,NA,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",terms,Total,49,92.81174424528949,1,NA,NA,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",margin,Raw_mat,1,4.157824819268271,0.04479847731640163,2.5768084630958836,0.0384,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",margin,core_type,5,20.167597428379054,0.217295748424668,2.499770336303091,0.0019,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",margin,SDI,1,1.535154029964815,0.01654051480713045,0.9514104293757286,0.4051,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",margin,Residual,42,67.76935302341461,0.7301807931150279,NA,NA,SDG,50,9999,42
morph,"D_morph (M-SPHARM, l = 1-8)",margin,Total,49,92.81174424528949,1,NA,NA,SDG,50,9999,42
combined,D_comb (MFA-normalised join),terms,Raw_mat,1,0.13015464596970014,0.029797634464081273,1.716371713329785,0.101,SDG,50,9999,42
combined,D_comb (MFA-normalised join),terms,core_type,5,0.9570975667488896,0.21911813618304712,2.5242820618896493,1e-4,SDG,50,9999,42
combined,D_comb (MFA-normalised join),terms,SDI,1,0.09578676719205648,0.021929444423746582,1.2631565818866328,0.2492,SDG,50,9999,42
combined,D_comb (MFA-normalised join),terms,Residual,42,3.184913319342888,0.7291547849291251,NA,NA,SDG,50,9999,42
combined,D_comb (MFA-normalised join),terms,Total,49,4.367952299253534,1,NA,NA,SDG,50,9999,42
combined,D_comb (MFA-normalised join),margin,Raw_mat,1,0.2021476590922111,0.046279731380481734,2.6657559658875005,0.0135,SDG,50,9999,42
combined,D_comb (MFA-normalised join),margin,core_type,5,0.9653559104740985,0.2210088032873148,2.5460629018486056,1e-4,SDG,50,9999,42
combined,D_comb (MFA-normalised join),margin,SDI,1,0.09578676719205559,0.02192944442374638,1.263156581886621,0.2492,SDG,50,9999,42
combined,D_comb (MFA-normalised join),margin,Residual,42,3.184913319342888,0.7291547849291251,NA,NA,SDG,50,9999,42
combined,D_comb (MFA-normalised join),margin,Total,49,4.367952299253534,1,NA,NA,SDG,50,9999,42
