model,model_label,version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.3306879922798984,0.017832716429395983,0.9407294987852972,0.4229,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,core_type,5,12.696272011898648,0.17014433121227285,1.7951251796796779,0.0375,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,4.2426761447050705,0.056856634334440166,2.9993586973596305,0.0281,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,1.1843807348964503,0.015872034550835162,0.837297624667933,0.4765,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,39,55.166582706215806,0.739294283473056,NA,NA,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.3306879922798984,0.017832716429395983,0.9407294987852972,0.0218,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,core_type,5,12.696272011898648,0.17014433121227285,1.7951251796796779,0.0374,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,SDI,1,4.2426761447050705,0.056856634334440166,2.9993586973596305,0.0346,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer:SDI,1,1.1843807348964503,0.015872034550835162,0.837297624667933,0.4512,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Residual,39,55.166582706215806,0.739294283473056,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Total,47,74.62059958999586,1,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.5298528392803667,0.017212989404553396,0.9055987365577992,0.4431,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,15.418875291773652,0.17348396539387073,1.8254453794314938,0.0262,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,3.0961995951025543,0.03483658653727266,1.8328001030312082,0.12,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.9491123953648923,0.03318164931349318,1.7457316093655633,0.136,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,39,65.88377205418757,0.7412848093508099,NA,NA,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer,1,1.5298528392803667,0.017212989404553396,0.9055987365577992,0.0143,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,core_type,5,15.418875291773652,0.17348396539387073,1.8254453794314938,0.0259,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,SDI,1,3.0961995951025543,0.03483658653727266,1.8328001030312082,0.1197,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Layer:SDI,1,2.9491123953648923,0.03318164931349318,1.7457316093655633,0.118,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Residual,39,65.88377205418757,0.7412848093508099,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",48,9999,42,Total,47,88.87781217570905,1,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer,1,0.0766908438886428,0.017519692801949076,0.9229613661820598,0.4732,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,core_type,5,0.7521751767814071,0.1718311777817523,1.8104602676649086,0.0048,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,SDI,1,0.2001978044039402,0.045734325702225506,2.409346796699845,0.0256,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer:SDI,1,0.10775036783740366,0.024615107203011036,1.2967574962433956,0.2402,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Residual,39,3.2405938333361264,0.740299696511062,NA,NA,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Total,47,4.377408026247521,1,NA,NA,free
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer,1,0.0766908438886428,0.017519692801949076,0.9229613661820598,0.0016,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,core_type,5,0.7521751767814071,0.1718311777817523,1.8104602676649086,0.0055,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,SDI,1,0.2001978044039402,0.045734325702225506,2.409346796699845,0.0287,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Layer:SDI,1,0.10775036783740366,0.024615107203011036,1.2967574962433956,0.2113,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Residual,39,3.2405938333361264,0.740299696511062,NA,NA,restricted_within_layer
M1,M1 Layer first (direct analogue),A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),48,9999,42,Total,47,4.377408026247521,1,NA,NA,restricted_within_layer
M2,M2 raw material controlled,A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Raw_mat,1,1.3351532336229754,0.017892555687826113,0.9810251097989536,0.3846,free
M2,M2 raw material controlled,A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",48,9999,42,Layer,1,1.311162640446635,0.017571054744277587,0.9633976392493018,0.4114,free
