version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat,1,1.3213156005416964,0.017650717941227773,1.0444512152678715,0.365,free
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,core_type,5,16.98209044351528,0.2268542718696591,2.6847431445215455,0.003,free
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,SDI,1,2.0494521834445116,0.027377488322382775,1.6200163100734268,0.1771,free
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat:SDI,1,2.6378411013037173,0.03523744761191161,2.0851160334523473,0.0998,free
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Residual,41,51.868329348743686,0.6928800742548189,NA,NA,free
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Total,49,74.85902867754888,1,NA,NA,free
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat,1,1.3213156005416964,0.017650717941227773,1.0444512152678715,0.0015,restricted_within_rawmat
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,core_type,5,16.98209044351528,0.2268542718696591,2.6847431445215455,0.0022,restricted_within_rawmat
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,SDI,1,2.0494521834445116,0.027377488322382775,1.6200163100734268,0.1931,restricted_within_rawmat
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat:SDI,1,2.6378411013037173,0.03523744761191161,2.0851160334523473,0.0307,restricted_within_rawmat
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Residual,41,51.868329348743686,0.6928800742548189,NA,NA,restricted_within_rawmat
A,"A raw SDI, full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Total,49,74.85902867754888,1,NA,NA,restricted_within_rawmat
A,"A raw SDI, full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Raw_mat,1,3.8807142815719184,0.04181275024112994,2.38745616668427,0.0523,free
