scan,assemblage,varied_block,varied_lmax,setting,lmax_SP,lmax_M,is_anchor,n_coords,n_permanova,n_groups,n_pairs,SP_n_parts,SP_n_coords,SP_R2,SP_pseudo_F,SP_p,SP_nsig05,SP_nsig01,SP_med_neglog10_p,SP_permdisp_F,SP_permdisp_p,SP_sig_pairs,M_n_parts,M_n_coords,M_R2,M_pseudo_F,M_p,M_nsig05,M_nsig01,M_med_neglog10_p,M_permdisp_F,M_permdisp_p,M_sig_pairs,mantel_r,mantel_p,RV,RV_p,n_decoupling,SP_cumpower_at_lmax,SP_cv_at_lmax,SP_cv_cross_l,M_cumpower_at_lmax,M_cv_at_lmax,M_cv_cross_l,M_cv_max_all,focus_p_Discoid_Bidirectional,focus_p_Discoid_Multiplatform
M,EXP,M-SPHARM,6,M-SPHARM l = 1-6,6,6,FALSE,5,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,6,5,0.1354905703802392,2.0766113081355035,0.0168,0,0,0.8764072879431039,1.0716636057609836,0.3751,,-0.04287921097162612,0.7137,0.11395722987353785,0.037,58,99.91999901671863,62.95010700219574,9,96.81228835991928,67.97048316360399,NA,83.04773458683302,0.6692,1
M,EXP,M-SPHARM,7,M-SPHARM l = 1-7,6,7,FALSE,6,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,7,6,0.12706608655752943,1.9286977180755642,0.0227,0,0,0.8154756055298313,1.2142651260449149,0.3101,,-0.04990883346329366,0.7494,0.11157148480164879,0.0538,58,99.91999901671863,62.95010700219574,9,97.70670639945031,60.45549074504829,NA,83.04773458683302,0.6734,1
M,EXP,M-SPHARM,8,M-SPHARM l = 1-8,6,8,TRUE,7,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,8,7,0.12333968011052597,1.864177862721686,0.0254,0,0,0.8008774381854612,1.045946566147884,0.3856,,-0.06125642786107344,0.7973,0.10094661583002755,0.1202,58,99.91999901671863,62.95010700219574,9,98.37126820456983,51.08656392454009,NA,83.04773458683302,0.7063,1
M,EXP,M-SPHARM,9,M-SPHARM l = 1-9,6,9,FALSE,8,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,9,8,0.12244413855813456,1.8487539166220468,0.0246,0,0,0.7811221825784431,1.0807775593242994,0.3674,,-0.05069440860314584,0.7506,0.10373669706441191,0.1176,58,99.91999901671863,62.95010700219574,9,98.79209494267973,58.546830108430136,NA,83.04773458683302,0.602,1
M,EXP,M-SPHARM,10,M-SPHARM l = 1-10,6,10,FALSE,9,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,10,9,0.12221264504462509,1.8447720142010993,0.0224,0,0,0.7744077742043118,1.014729738805019,0.4019,,-0.04419756441365711,0.7193,0.106300959823585,0.1224,58,99.91999901671863,62.95010700219574,9,99.10394622141347,54.35499676861556,NA,83.04773458683302,0.5376,1
M,SDG,M-SPHARM,6,M-SPHARM l = 1-6,6,6,FALSE,5,50,6,15,6,5,0.1678519858912417,1.7750417603590845,0.0378,0,0,0.8887374863409347,0.7221602386243929,0.6211,,6,5,0.20075781831251802,2.210429881741349,0.0106,1,0,1.0376306643299789,0.38406523317623037,0.8556,Bifacial_adjacent-Unifacial_unidirection,-0.007684236945320689,0.5323,0.09264326314984953,0.175,51,99.93014965425337,67.01041422961087,9,96.64961547188858,54.18843202773026,NA,54.79367513486917,NA,NA
M,SDG,M-SPHARM,7,M-SPHARM l = 1-7,6,7,FALSE,6,50,6,15,6,5,0.1678519858912417,1.7750417603590845,0.0378,0,0,0.8887374863409347,0.7221602386243929,0.6211,,7,6,0.19582595684808354,2.142904803926372,0.0091,1,0,0.9613798380502973,0.38488459050686297,0.8486,Bifacial_adjacent-Unifacial_unidirection,0.013972582039808931,0.4124,0.09151179706950915,0.2518,51,99.93014965425337,67.01041422961087,9,97.61332289169653,48.91151360700135,NA,54.79367513486917,NA,NA
M,SDG,M-SPHARM,8,M-SPHARM l = 1-8,6,8,TRUE,7,50,6,15,6,5,0.1678519858912417,1.7750417603590845,0.0378,0,0,0.8887374863409347,0.7221602386243929,0.6211,,8,7,0.18770190528243932,2.0334613330095217,0.0107,1,0,0.9396799713117148,0.4492641066039934,0.8031,Bifacial_adjacent-Unifacial_unidirection,0.011889663509483853,0.4252,0.09065986577433847,0.3126,51,99.93014965425337,67.01041422961087,9,98.29097566304155,44.12006685470839,NA,54.79367513486917,NA,NA
M,SDG,M-SPHARM,9,M-SPHARM l = 1-9,6,9,FALSE,8,50,6,15,6,5,0.1678519858912417,1.7750417603590845,0.0378,0,0,0.8887374863409347,0.7221602386243929,0.6211,,9,8,0.1807125188406092,1.9410404801339534,0.0122,1,0,0.8215986584662448,0.49587305984403596,0.7681,Bifacial_adjacent-Unifacial_unidirection,0.02951938817485036,0.3389,0.09488952656682995,0.3119,51,99.93014965425337,67.01041422961087,9,98.72637658823318,54.79367513486917,NA,54.79367513486917,NA,NA
M,SDG,M-SPHARM,10,M-SPHARM l = 1-10,6,10,FALSE,9,50,6,15,6,5,0.1678519858912417,1.7750417603590845,0.0378,0,0,0.8887374863409347,0.7221602386243929,0.6211,,10,9,0.17929228729534946,1.9224531508294365,0.0106,1,0,0.7587026128900068,0.4778058211962819,0.7842,Bifacial_adjacent-Unifacial_unidirection,0.03232676335545069,0.3312,0.11390131385890254,0.1574,51,99.93014965425337,67.01041422961087,9,99.05664923058413,50.44352069799868,NA,54.79367513486917,NA,NA
