scan,assemblage,varied_block,varied_lmax,setting,lmax_SP,lmax_M,is_anchor,n_coords,n_permanova,n_groups,n_pairs,SP_n_parts,SP_n_coords,SP_R2,SP_pseudo_F,SP_p,SP_nsig05,SP_nsig01,SP_med_neglog10_p,SP_permdisp_F,SP_permdisp_p,SP_sig_pairs,M_n_parts,M_n_coords,M_R2,M_pseudo_F,M_p,M_nsig05,M_nsig01,M_med_neglog10_p,M_permdisp_F,M_permdisp_p,M_sig_pairs,mantel_r,mantel_p,RV,RV_p,n_decoupling,SP_cumpower_at_lmax,SP_cv_at_lmax,SP_cv_cross_l,M_cumpower_at_lmax,M_cv_at_lmax,M_cv_cross_l,M_cv_max_all,focus_p_Discoid_Bidirectional,focus_p_Discoid_Multiplatform
SP,EXP,SP-SPHARM,4,SP-SPHARM l = 1-4,4,8,FALSE,3,58,5,10,4,3,0.3215283321101956,6.279186887361716,1e-4,7,6,2.811711521471744,4.74643239256303,0.0021,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Multiplatform,8,7,0.12333968011052597,1.864177862721686,0.0254,0,0,0.8008774381854612,1.045946566147884,0.3856,,-0.08882352581411194,0.8965,0.07396250674532705,0.3265,58,97.53301192509511,54.65699036888062,9,98.37126820456983,51.08656392454009,NA,83.04773458683302,0.4648,0.4648
SP,EXP,SP-SPHARM,5,SP-SPHARM l = 1-5,5,8,FALSE,4,58,5,10,5,4,0.294149927598646,5.521691777153926,1e-4,7,5,2.727965977824862,5.003356014384969,0.0017,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Multiplatform,8,7,0.12333968011052597,1.864177862721686,0.0254,0,0,0.8008774381854612,1.045946566147884,0.3856,,-0.051940831182505594,0.7565,0.10690824961453249,0.0767,58,99.5552753885491,66.33441974821986,9,98.37126820456983,51.08656392454009,NA,83.04773458683302,0.332,0.332
SP,EXP,SP-SPHARM,6,SP-SPHARM l = 1-6,6,8,TRUE,5,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,8,7,0.12333968011052597,1.864177862721686,0.0254,0,0,0.8008774381854612,1.045946566147884,0.3856,,-0.06125642786107344,0.7973,0.10094661583002755,0.1202,58,99.91999901671863,62.95010700219574,9,98.37126820456983,51.08656392454009,NA,83.04773458683302,0.3802,0.3696
SP,EXP,SP-SPHARM,7,SP-SPHARM l = 1-7,7,8,FALSE,6,58,5,10,7,6,0.2959691561770468,5.570198172073347,1e-4,8,5,2.8494850021680094,4.341120933097437,0.005,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,8,7,0.12333968011052597,1.864177862721686,0.0254,0,0,0.8008774381854612,1.045946566147884,0.3856,,-0.04800769762784002,0.7376,0.11843558699014914,0.0516,58,99.98226391520313,78.89908905291149,9,98.37126820456983,51.08656392454009,NA,83.04773458683302,0.4374,0.4374
SP,EXP,SP-SPHARM,8,SP-SPHARM l = 1-8,8,8,FALSE,7,58,5,10,8,7,0.3234426026565695,6.33444331852321,1e-4,8,6,3.5,4.333321407078641,0.0046,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,8,7,0.12333968011052597,1.864177862721686,0.0254,0,0,0.8008774381854612,1.045946566147884,0.3856,,-0.00614763650950858,0.5279,0.13499951443717842,0.0192,58,99.99356189828653,78.96996628724064,9,98.37126820456983,51.08656392454009,NA,83.04773458683302,0.1866,0.179
SP,SDG,SP-SPHARM,4,SP-SPHARM l = 1-4,4,8,FALSE,3,50,6,15,4,3,0.17543443953442128,1.8722866220985637,0.0461,0,0,0.8074325466634544,1.0804195392047398,0.3878,,8,7,0.18770190528243932,2.0334613330095217,0.0107,1,0,0.9396799713117148,0.4492641066039934,0.8031,Bifacial_adjacent-Unifacial_unidirection,-0.012123836754378626,0.5525,0.09714426842108284,0.1686,51,98.13313171946584,57.79841236921557,9,98.29097566304155,44.12006685470839,NA,54.79367513486917,NA,NA
SP,SDG,SP-SPHARM,5,SP-SPHARM l = 1-5,5,8,FALSE,4,50,6,15,5,4,0.1635405269415199,1.7205336103411648,0.0573,0,0,0.8303255659411931,0.8814191494574549,0.5056,,8,7,0.18770190528243932,2.0334613330095217,0.0107,1,0,0.9396799713117148,0.4492641066039934,0.8031,Bifacial_adjacent-Unifacial_unidirection,-0.005058638840151446,0.5205,0.08821357937505675,0.286,51,99.62816574389961,63.87453690017153,9,98.29097566304155,44.12006685470839,NA,54.79367513486917,NA,NA
SP,SDG,SP-SPHARM,6,SP-SPHARM l = 1-6,6,8,TRUE,5,50,6,15,6,5,0.1678519858912417,1.7750417603590845,0.0378,0,0,0.8887374863409347,0.7221602386243929,0.6211,,8,7,0.18770190528243932,2.0334613330095217,0.0107,1,0,0.9396799713117148,0.4492641066039934,0.8031,Bifacial_adjacent-Unifacial_unidirection,0.011889663509483853,0.4252,0.09065986577433847,0.3126,51,99.93014965425337,67.01041422961087,9,98.29097566304155,44.12006685470839,NA,54.79367513486917,NA,NA
SP,SDG,SP-SPHARM,7,SP-SPHARM l = 1-7,7,8,FALSE,6,50,6,15,7,6,0.16656746857887658,1.7587431114486531,0.0345,0,0,0.9389246763702083,0.9297161527763632,0.4828,,8,7,0.18770190528243932,2.0334613330095217,0.0107,1,0,0.9396799713117148,0.4492641066039934,0.8031,Bifacial_adjacent-Unifacial_unidirection,-0.005291260463674256,0.5211,0.08436554960967885,0.4704,51,99.98774376358513,70.41769339911217,9,98.29097566304155,44.12006685470839,NA,54.79367513486917,NA,NA
SP,SDG,SP-SPHARM,8,SP-SPHARM l = 1-8,8,8,FALSE,7,50,6,15,8,7,0.16737396882978112,1.7689705468756376,0.0273,0,0,0.8716007312821936,1.0296862772653865,0.4246,,8,7,0.18770190528243932,2.0334613330095217,0.0107,1,0,0.9396799713117148,0.4492641066039934,0.8031,Bifacial_adjacent-Unifacial_unidirection,0.021973384482802043,0.3743,0.09680736513579082,0.3672,51,99.99627774543899,76.52668150089367,9,98.29097566304155,44.12006685470839,NA,54.79367513486917,NA,NA
M,EXP,M-SPHARM,6,M-SPHARM l = 1-6,6,6,FALSE,5,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,6,5,0.1354905703802392,2.0766113081355035,0.0168,0,0,0.8764072879431039,1.0716636057609836,0.3751,,-0.04287921097162612,0.7137,0.11395722987353785,0.037,58,99.91999901671863,62.95010700219574,9,96.81228835991928,67.97048316360399,NA,83.04773458683302,0.6692,1
M,EXP,M-SPHARM,7,M-SPHARM l = 1-7,6,7,FALSE,6,58,5,10,6,5,0.30173786937348357,5.725681794616906,1e-4,8,5,2.840968332518619,4.8414045507253505,0.0026,Bidirectional-Levallois; Bidirectional-Multiplatform; Levallois-Discoid; Levallois-Multiplatform; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,7,6,0.12706608655752943,1.9286977180755642,0.0227,0,0,0.8154756055298313,1.2142651260449149,0.3101,,-0.04990883346329366,0.7494,0.11157148480164879,0.0538,58,99.91999901671863,62.95010700219574,9,97.70670639945031,60.45549074504829,NA,83.04773458683302,0.6734,1
